txt1	lvl11	lvl12	lvl13	lvl14	txt2	lvl21	lvl22	lvl23	lvl24	mantra_id	pratika
VS			10	5	MS		2	6	11	8	
VS			10	5	KS			15	7	8	
VS			10	5	ŚB	5	3	5	9	8	
VS			20	27a	ApŚ		10	24	5	13	aṃśunā te aṃśuḥ pṛcyatām
VS			20	27a	HirŚ		7	2	38	13	aṃśunā te aṃśuḥ pṛcyatām
VS			20	27a	KŚ		19	1	21	13	aṃśunā te
VS			5	7a	TS	6	2	2	4	22	
VS			5	7a	MS		1	2	7a	22	
VS			5	7a	MS		3	8	2	22	
VS			5	7a	KS			2	8a	22	
VS			5	7a	KS			24	9	22	
VS			5	7a	AB		1	26	4a	22	
VS			5	7a	GB		2	2	4a	22	
VS			5	7a	ŚB	3	4	3	18	22	
VS			5	7a	AŚ		4	5	6	22	
VS			5	7a	ŚŚ		5	8	3a	22	
VS			5	7a	Vait			13	23a	22	
VS			5	7a	LŚ		5	6	8a	22	
VS			5	7a	ApŚ		11	1	11	22	
VS			5	7a	MŚ	2	2	1	12	22	aṃśur-aṃśuṣ ṭe deva soma
VS			5	7a	KŚ		8	2	6	22	aṃśur-aṃśuḥ
VS			18	19	MS		2	11	5	26	
VS			18	19	KS			18	11	26	
RV		9	107	12c	SV			2	117c	34	
RV		7	56	13a	TB	2	8	5	5a	52	
VS			20	8b	KS			38	4b	57	
VS			20	8b	TB	2	6	5	5b	57	
VS			7	30	ŚB	4	3	1	20	58	
VS			7	30	KŚ		9	13	18	58	
RV		3	32	14c	MS		4	12	3c	60	
RV		3	32	14c	KS			8	16c	60	
RV		3	32	14c	KS			38	7c	60	
TS	1	4	14	1	MS		3	12	13	61	
TS	1	4	14	1	TB	3	10	7	1	61	
TS	1	4	14	1	ApŚ		8	20	8	61	
TS	1	4	14	1	ApŚ		12	27	5	61	
TS	1	4	14	1	MŚ	2	4	2	3	61	
AVŚ		19	42	4a	TS	1	6	12	4b	64	
RV		10	63	9b	TB	2	7	13	3b	65	
VS			4	13	ApŚ		10	13	9	67	
AVŚ		19	42	3a	TS	1	6	12	3a	69	
AVŚ		19	42	3a	MS		4	12	3a	69	
AVŚ		19	42	3a	KS			8	16a	69	
AVŚ		19	42	3a	TS	2	5	12	5	69	aṃhomuce
AVŚ		19	42	3a	MŚ	9	2	5	30	69	aṃhomuce
RV		1	107	1d	VS			33	68d	75	
RV		1	107	1d	TS	1	4	22	1d	75	
RV		1	107	1d	TS	2	1	11	4d	75	
RV		1	107	1d	MS		1	3	26d	75	
RV		1	107	1d	KS			4	10d	75	
RV		1	107	1d	ŚB	4	3	5	15d	75	
RV		3	47	5b	VS			7	36b	93	
RV		3	47	5b	TS	1	4	17	1b	93	
RV		3	47	5b	MS		1	3	21b	93	
RV		3	47	5b	KS			4	8b	93	
RV		3	47	5b	ŚB	4	3	3	14b	93	
RV		3	47	5b	TB	2	8	3	4b	93	
VS			11	22b	MS		2	7	2b	96	
VS			11	22b	KS			16	2b	96	
VS			11	22b	ŚB	6	3	3	14	96	
RV		1	187	6c	KS			40	8c	100	
RV		4	16	21c	RV		4	19	11c	102	
RV		4	16	21c	RV		4	20	11c	102	
RV		4	16	21c	RV		4	21	11c	102	
RV		4	16	21c	RV		4	22	11c	102	
RV		4	16	21c	RV		4	23	11c	102	
RV		4	16	21c	RV		4	24	11c	102	
RV		5	39	2d	JB			3	203d	111	
RV		5	39	2d	N			4	18	111	
RV		10	109	1b	AVP		9	15	1b	112	
RV		8	91	7d	AVP		4	26	7d	118	
RV		8	91	7d	JB			1	221d	118	
RV		10	44	6b	N			5	25b	120	
RV		10	84	4c	AVP		4	12	4c	122	
AVP		11	7	6b	PrāṇāgU				1b	127	
KS			31	11	TB	3	3	9	3	128	
KS			31	11	GG		1	8	27	128	
KS			31	11	KhG		2	1	26	128	
KS			31	11	ApŚ		3	6	1	128	aktaṃ rihāṇāḥ
MS		4	13	8	TB	3	6	13	1	131	
VS			3	47a	MS		1	10	2a	137	
VS			3	47a	KS			9	4a	137	
VS			3	47a	ŚB	2	5	2	29	137	
VS			3	47a	TB	1	6	5	5	137	
VS			3	47a	ApŚ		8	6	25	137	
VS			3	47a	HirŚ		5	2	51	137	
VS			3	47a	MŚ	1	7	4	16	137	
VS			3	47a	KŚ		5	5	13	137	akran karma
RV		10	45	4a	VS			12	21a	138	
RV		10	45	4a	VS			12	33a	138	
RV		10	45	4a	TS	1	3	14	2a	138	
RV		10	45	4a	TS	4	2	1	2a	138	
RV		10	45	4a	TS	4	2	2	2a	138	
RV		10	45	4a	MS		2	7	8a	138	
RV		10	45	4a	MS		3	2	2	138	
RV		10	45	4a	KS			16	8a	138	
RV		10	45	4a	KS			16	9a	138	
RV		10	45	4a	KS			16	10a	138	
RV		10	45	4a	AB		7	6	4	138	
RV		10	45	4a	ŚB	6	7	3	2	138	
RV		10	45	4a	ŚB	6	8	1	11	138	
RV		10	45	4a	AŚ		3	13	12	138	
RV		10	45	4a	ApMB		2	11	24a	138	
RV		10	45	4a	MS		2	7	9	138	akrandad agniḥ
RV		10	45	4a	MS		2	7	10	138	akrandad agniḥ
RV		10	45	4a	MS		4	10	2	138	akrandad agniḥ
RV		10	45	4a	KS			19	11	138	akrandad agniḥ
RV		10	45	4a	KS			19	12	138	akrandad agniḥ
RV		10	45	4a	KA			3	236	138	akrandad agniḥ
RV		10	45	4a	KŚ		16	5	14	138	akrandad agniḥ
RV		10	45	4a	KŚ		16	6	20	138	akrandad agniḥ
RV		10	45	4a	ApŚ		16	10	13	138	akrandad agniḥ
RV		10	45	4a	ApŚ		16	12	7	138	akrandad agniḥ
RV		10	45	4a	MŚ	6	1	4	11	138	akrandad agniḥ
RV		10	45	4a	TS	5	2	1	2	138	akrandat
RV		10	45	4a	TS	5	2	2	3	138	akrandat
VS			12	45d	MS		2	7	11d	140	
VS			12	45d	MS		3	2	3c	140	
VS			12	45d	KS			16	11d	140	
VS			12	45d	ŚB	7	1	1	4	140	
VS			12	45d	TB	1	2	1	16d	140	
RV		9	97	40a	SV			2	603a	145	
RV		9	97	40a	JB			3	240a	145	
RV		9	97	40a	PB		15	1	1	145	
RV		9	97	40a	TA		10	1	15a	145	
RV		9	97	40a	MahānU			6	1a	145	
RV		9	97	40a	N			14	6a	145	
RV		9	97	40a	JG			2	1	145	akrān samudraḥ
RV		9	97	40a	Svidh		1	4	20	145	akrān samudraḥ
RV		9	97	40a	JG			2	8	145	akrān
RV		9	97	40a	Svidh		1	6	3	145	akrān
VS			21	60	TB	2	6	15	2	152	
RV		1	82	2a	SV			1	415a	164	
RV		1	82	2a	VS			3	51a	164	
RV		1	82	2a	TS	1	8	5	2a	164	
RV		1	82	2a	MS		1	10	3a	164	
RV		1	82	2a	KS			9	6a	164	
RV		1	82	2a	ŚB	2	6	1	38a	164	
RV		1	82	2a	TB	1	6	9	9	164	
RV		1	82	2a	LŚ		5	2	10	164	
RV		1	82	2a	ApŚ		8	16	9	164	
RV		1	82	2a	HirŚ		5	4	81	164	
RV		1	82	2a	Svidh		1	4	20	164	
RV		1	82	2a	ŚŚ		3	17	2	164	akṣann amīmadanta
RV		1	82	2a	KŚ		5	9	21	164	akṣann amīmadanta
RV		1	82	2a	MŚ	1	1	2	39	164	akṣann amīmadanta
RV		1	82	2a	MŚ	1	7	6	55	164	akṣann amīmadanta
RV		1	82	2a	AG		4	7	26	164	akṣann amīmadanta
RV		1	82	2a	ŚG		1	15	3	164	akṣann amīmadanta
RV		1	82	2a	Kauś			88	27	164	akṣan
VS			19	36	KS			38	2	166	
VS			19	36	ŚB	12	8	1	8	166	
VS			19	36	TB	2	6	3	2	166	
VS			19	36	KŚ		19	3	18	166	
VS			19	36	HirŚ		5	4	82	166	
ŚG		4	2	5	YDh			1	242	168	
ŚG		4	2	5	YDh			1	251	168	
VS			15	4	MS		2	8	7	173	
VS			15	4	KS			17	6	173	
VS			15	4	ŚB	8	5	2	4	173	
TA		10	26	1b	MahānU			15	1b	175	
ApMB		2	20	1	BDh	2	8	14	12	197	
VSK		2	3	8	ŚŚ		4	9	4	206	
VSK		2	3	8	ŚŚ		4	11	3	206	
VSK		2	3	8	KŚ		3	4	30	206	
VSK		2	3	8	KS			5	5	206	akṣitir asi mā me kṣeṣṭhāḥ
VSK		2	3	8	AŚ		1	11	6	206	akṣitir asi mā me kṣeṣṭhāḥ
AVŚ		11	7	25b	AVŚ		11	8	26b	209	
KS			5	5	LŚ		4	11	21	214	
TS	1	6	3	3	GB		2	1	7	215	
TS	1	6	3	3	Vait			3	20	215	
TS	1	6	3	3	MŚ	1	4	2	12	215	
RV		10	163	1a	AVŚ		20	96	17a	221	
RV		10	163	1a	AVP		4	7	1a	221	
RV		10	163	1a	ŚŚ		16	13	4	221	
RV		10	163	1a	ŚG		1	21	3	221	
RV		10	163	1a	ApMB		1	17	1a	221	
RV		10	163	1a	Vait			38	1	221	akṣībhyāṃ te
RV		10	163	1a	Kauś			27	27	221	akṣībhyāṃ te
RV		10	163	1a	Rvidh		4	19	3	221	akṣībhyāṃ te
RV		10	163	1a	BṛhD			8	66	221	akṣībhyāṃ te
TS	5	5	9	2	MŚ	5	2	15	20	243	
TS	5	5	9	2	PG		1	3	25	243	
AVŚ		5	29	4a	Kauś			25	24	248	akṣyau ni vidhya
AVŚ		7	36	1a	Kauś			79	2	249	akṣyau nau
RV		8	98	3b	AVŚ		20	62	7b	259	
RV		8	98	3b	SV			2	377b	259	
TS	2	6	5	6	ŚB	1	9	2	18	262	
TS	2	6	5	6	ŚB	2	5	2	44	262	
TS	2	6	5	6	ŚB	2	6	1	47	262	
TS	2	6	5	6	KŚ		3	6	16	262	
TS	2	6	5	6	ApŚ		3	7	9	262	
TS	2	6	5	6	MŚ	1	3	4	24	262	
RV		3	37	10a	AVŚ		20	57	6a	270	
RV		8	48	3b	MŚ	2	5	4	40b	273	
RV		8	48	3b	ŚirasU				3b	273	
RV		1	50	10d	AVŚ		18	3	64e	274	
RV		1	50	10d	AVP		5	6	9d	274	
RV		1	50	10d	VS			20	21d	274	
RV		1	50	10d	VS			27	10d	274	
RV		1	50	10d	VS			35	14d	274	
RV		1	50	10d	VS			38	24d	274	
RV		1	50	10d	TS	4	1	7	4d	274	
RV		1	50	10d	TS	5	1	8	6	274	
RV		1	50	10d	MS		2	12	5d	274	
RV		1	50	10d	MS		4	9	27d	274	
RV		1	50	10d	KS			18	16d	274	
RV		1	50	10d	KS			38	5d	274	
RV		1	50	10d	TB	2	4	4	9d	274	
RV		1	50	10d	TB	2	6	6	4d	274	
RV		1	50	10d	ŚB	12	9	2	8	274	
RV		1	50	10d	ŚB	14	3	1	28	274	
RV		1	50	10d	JB			2	68d	274	
RV		1	50	10d	TA		6	3	2d	274	
RV		1	50	10d	KA		1	198	20d	274	
RV		1	50	10d	LŚ		2	12	10e	274	
RV		1	50	10d	ChU		3	17	7e	274	
RV		1	50	10d	JG			1	4d	274	
VS			12	73b	ŚB	7	2	2	21	276	
RV		9	67	29c	AVŚ		7	32	1c	278	
RV		7	12	1a	MS		2	13	5a	279	
RV		7	12	1a	KS			39	13a	279	
RV		7	12	1a	AB		5	20	6	279	
RV		7	12	1a	JB			3	243	279	
RV		7	12	1a	KB			26	14	279	
RV		7	12	1a	TB	3	11	6	2a	279	
RV		7	12	1a	PB		15	2	1	279	
RV		7	12	1a	ApŚ		16	35	5a	279	
RV		7	12	1a	AŚ		4	15	7	279	aganma mahā
RV		7	12	1a	AŚ		8	11	1	279	aganma mahā
RV		7	12	1a	ŚŚ		6	4	5	279	aganma mahā
RV		7	12	1a	ŚŚ		10	11	2	279	aganma mahā
RV		7	12	1a	ŚŚ		14	56	1	279	aganma mahā
RV		1	113	16d	AVŚ		14	2	36d	280	
RV		1	113	16d	MG		2	7	5d	280	
RV		6	16	38b	MS		4	11	2b	284	
RV		6	16	38b	KS			40	14b	284	
RV		6	16	38b	TB	2	4	4	6b	284	
VS			2	25	MS		1	4	7	285	
VS			2	25	KS			5	5	285	
VS			2	25	KS			32	5	285	
VS			2	25	ŚB	1	9	3	14	285	
VS			2	25	ŚŚ		4	12	7	285	
VS			2	25	Vait			24	5	285	
VS			2	25	KŚ		3	8	15	285	
AVŚ		16	9	3	TS	1	7	6	1	286	
AVŚ		16	9	3	ApŚ		4	14	11	286	
AVŚ		16	9	3	HirŚ		6	4	18	286	
AVŚ		16	9	3	Kauś			6	16	286	aganma svaḥ
AVŚ		6	53	3b	VS			8	14b	287	
AVŚ		6	53	3b	TS	1	4	44	1b	287	
AVŚ		6	53	3b	MS		1	3	38b	287	
AVŚ		6	53	3b	MS		4	14	17b	287	
AVŚ		6	53	3b	KS			4	12b	287	
AVŚ		6	53	3b	PB		1	3	9b	287	
AVŚ		6	53	3b	ŚB	1	9	3	6b	287	
AVŚ		6	53	3b	ŚB	4	4	3	14b	287	
AVŚ		6	53	3b	ŚB	4	4	4	8b	287	
AVŚ		6	53	3b	TA		2	4	1b	287	
AVŚ		6	53	3b	KA		1	198	4b	287	
AVŚ		6	53	3b	ŚŚ		4	11	6b	287	
ŚG		1	28	9c	MG		1	1	24c	292	
ŚG		1	28	9c	VārG			4	20c	292	
AVŚ		2	32	3c	AVP		2	14	5c	295	
TS	2	6	5	6	ŚB	1	8	3	20	301	
TS	2	6	5	6	ŚB	1	9	2	18	301	
TS	2	6	5	6	ŚB	2	5	2	44	301	
TS	2	6	5	6	ŚB	2	6	1	47	301	
TS	2	6	5	6	KŚ		3	6	16	301	
TS	2	6	5	6	ApŚ		3	7	9	301	
TS	2	6	5	6	MŚ	1	3	4	24	301	
TB	2	5	3	3d	ApŚ		7	16	7d	304	
TS	7	3	19	1	KSA			3	9	306	
TS	7	3	19	1	KSA			3	10	306	
RV		8	24	20a	AG		1	1	4a	310	
RV		6	16	10a	SV			2	10a	319	
RV		6	16	10a	VS			11	46	319	
RV		6	16	10a	TS	2	5	7	3	319	
RV		6	16	10a	TS	2	5	7	4	319	
RV		6	16	10a	TS	2	5	8	1	319	
RV		6	16	10a	TS	2	5	8	2	319	
RV		6	16	10a	TS	4	1	4	3c	319	
RV		6	16	10a	TS	5	1	5	8	319	
RV		6	16	10a	TS	5	5	6	1	319	
RV		6	16	10a	MS		2	7	4c	319	
RV		6	16	10a	MS		3	1	6	319	
RV		6	16	10a	MS		4	10	2a	319	
RV		6	16	10a	KS			16	4c	319	
RV		6	16	10a	KS			19	5	319	
RV		6	16	10a	KS			20	14a	319	
RV		6	16	10a	KS			26	1	319	
RV		6	16	10a	AB		7	6	2	319	
RV		6	16	10a	JB			1	65a	319	
RV		6	16	10a	JB			1	319	319	
RV		6	16	10a	JB			3	12	319	
RV		6	16	10a	JB			3	331	319	
RV		6	16	10a	KB			1	4	319	
RV		6	16	10a	GB		1	1	29a	319	
RV		6	16	10a	PB		11	2	3	319	
RV		6	16	10a	ŚB	1	4	1	7	319	
RV		6	16	10a	ŚB	1	4	1	8	319	
RV		6	16	10a	ŚB	1	4	1	22	319	
RV		6	16	10a	ŚB	1	4	3	3	319	
RV		6	16	10a	ŚB	6	4	4	9	319	
RV		6	16	10a	TB	3	5	2	1a	319	
RV		6	16	10a	AŚ		1	2	7	319	
RV		6	16	10a	AŚ		3	13	12	319	
RV		6	16	10a	ŚŚ		1	4	8	319	
RV		6	16	10a	ŚŚ		3	5	2	319	
RV		6	16	10a	KŚ		25	11	33a	319	
RV		6	16	10a	ApŚ		17	7	4	319	
RV		6	16	10a	ApŚ		17	10	7	319	
RV		6	16	10a	MŚ	6	1	1	37	319	
RV		6	16	10a	Svidh		2	6	9	319	
RV		6	16	10a	Svidh		2	6	10	319	
RV		6	16	10a	Svidh		3	7	2	319	
RV		6	16	10a	AŚ		4	13	7	319	agna ā yāhi
RV		6	16	10a	KŚ		16	3	11	319	agna ā yāhi
RV		6	16	10a	Karmap		3	1	16	319	agna ā yāhi
RV		8	60	1a	SV			2	902a	320	
RV		8	60	1a	KS			39	15a	320	
RV		8	60	1a	JB			2	225	320	
RV		8	60	1a	ŚŚ		14	53	5	320	
RV		8	60	1a	Vait			39	8	320	
RV		8	60	1a	AŚ		4	13	7	320	agna ā yāhi
RV		8	60	1a	Karmap		3	1	16	320	agna ā yāhi
RV		9	66	19a	SV			2	868a	322	
RV		9	66	19a	ArS			5	1a	322	
RV		9	66	19a	VS			19	38a	322	
RV		9	66	19a	VS			35	16a	322	
RV		9	66	19a	VSK		8	12	1a	322	
RV		9	66	19a	VSK		29	5	1a	322	
RV		9	66	19a	TS	1	3	14	7a	322	
RV		9	66	19a	TS	1	4	29	1a	322	
RV		9	66	19a	TS	1	5	5	2a	322	
RV		9	66	19a	TS	1	6	6	2a	322	
RV		9	66	19a	MS		1	3	31a	322	
RV		9	66	19a	MS		1	5	1a	322	
RV		9	66	19a	MS		1	6	1	322	
RV		9	66	19a	MS		1	7	4	322	
RV		9	66	19a	MS		3	11	10	322	
RV		9	66	19a	MS		4	10	1	322	
RV		9	66	19a	MS		4	10	2	322	
RV		9	66	19a	MS		4	12	4	322	
RV		9	66	19a	KS			4	11a	322	
RV		9	66	19a	KS			7	16	322	
RV		9	66	19a	KS			9	2	322	
RV		9	66	19a	KS			11	13	322	
RV		9	66	19a	KS			34	2	322	
RV		9	66	19a	KS			38	2	322	
RV		9	66	19a	JB			1	92	322	
RV		9	66	19a	JB			2	137	322	
RV		9	66	19a	KB			1	4	322	
RV		9	66	19a	PB		6	10	1	322	
RV		9	66	19a	PB		9	8	12	322	
RV		9	66	19a	ŚB	2	2	3	22a	322	
RV		9	66	19a	ŚB	13	8	4	8	322	
RV		9	66	19a	TB	1	4	6	7	322	
RV		9	66	19a	TB	2	6	3	4	322	
RV		9	66	19a	TA		2	5	1a	322	
RV		9	66	19a	KA		1	198	27a	322	
RV		9	66	19a	AŚ		2	1	20	322	
RV		9	66	19a	AŚ		2	3	29	322	
RV		9	66	19a	AŚ		2	8	12	322	
RV		9	66	19a	KŚ		25	13	35	322	
RV		9	66	19a	ApŚ		4	16	2	322	
RV		9	66	19a	ApŚ		5	17	2	322	
RV		9	66	19a	ApŚ		5	28	10	322	
RV		9	66	19a	ApŚ		6	16	8	322	
RV		9	66	19a	ApŚ		6	19	1	322	
RV		9	66	19a	ApŚ		6	22	1	322	
RV		9	66	19a	ApŚ		12	1	2	322	
RV		9	66	19a	ApŚ		14	22	8	322	
RV		9	66	19a	ApŚ		22	27	5	322	
RV		9	66	19a	MŚ	1	5	3	17	322	
RV		9	66	19a	MŚ	5	1	2	1	322	
RV		9	66	19a	MŚ	7	2	2	16	322	
RV		9	66	19a	MŚ	9	2	5	5	322	
RV		9	66	19a	AG		1	4	4	322	
RV		9	66	19a	MG		2	17	7	322	
RV		9	66	19a	VārG			4	4	322	
RV		9	66	19a	KS			19	14	322	agna āyūṃṣi
RV		9	66	19a	ŚŚ		2	2	5	322	agna āyūṃṣi
RV		9	66	19a	ŚŚ		2	5	14	322	agna āyūṃṣi
RV		9	66	19a	LŚ		1	5	11	322	agna āyūṃṣi
RV		9	66	19a	KŚ		21	4	26	322	agna āyūṃṣi
RV		9	66	19a	ApŚ		12	15	10	322	agna āyūṃṣi
RV		9	66	19a	MŚ	5	2	2	14	322	agna āyūṃṣi
RV		9	66	19a	ŚG		1	27	8	322	agna āyūṃṣi
RV		6	16	16b	SV			2	55b	327	
RV		6	16	16b	VS			26	13b	327	
RV		6	16	16b	MS		4	12	1b	327	
RV		6	16	16b	KS			2	14b	327	
RV		6	16	16b	AB		3	49	2	327	
RV		6	16	16b	JB			3	33b	327	
RV		6	16	16b	ŚB	2	2	3	23b	327	
AVŚ		7	110	1a	Kauś			59	20	330	agna indraś ca
AVŚ		7	110	1a	Vait			8	6	330	agna indraḥ
AVŚ		7	110	1a	Kauś			15	11	330	agna indraḥ
RV		3	25	4a	AB		2	37	12	331	
RV		3	25	4a	KB			14	2	331	
RV		3	25	4a	AŚ		5	9	26	331	
RV		3	25	4a	MŚ	5	2	7	4	331	agna indraś ca dāśuṣaḥ
RV		3	25	4a	ŚŚ		7	9	8	331	agna indraś ca
RV		3	25	4a	BṛhD			4	103	331	agna indraś ca
RV		1	14	10b	AB		3	4	12b	332	
RV		5	10	1a	KB			21	3	338	
RV		5	10	1a	KB			24	5	338	
RV		5	10	1a	ŚŚ		11	8	1	338	agna ojiṣṭham
RV		5	10	1a	ŚŚ		11	11	7	338	agna ojiṣṭham
VS			5	34	ŚŚ		6	13	1	347	
VS			5	34	KŚ		9	8	24	347	agnayaḥ sagarāḥ
TS	7	5	21	1	MS		3	15	11	350	
TS	7	5	21	1	KSA			5	18	350	
TS	7	5	21	1	KSA			5	19	350	
TS	7	5	21	1	ApŚ		20	23	2	350	
AVŚ		18	4	71	AŚ		2	6	12	353	
AVŚ		18	4	71	ApŚ		1	8	4	353	
AVŚ		18	4	71	MŚ	1	1	2	18	353	
AVŚ		18	4	71	MŚ	11	9	1	7	353	
AVŚ		18	4	71	MG		2	9	13	353	
AVŚ		18	4	71	JG			2	1	353	
AVŚ		18	4	71	ViDh			21	7	353	
AVŚ		18	4	71	Vait			9	8	353	agnaye kavyavāhanāya
AVŚ		18	4	71	Kauś			88	2	353	agnaye kavyavāhanāya
VS			2	29	ŚŚ		4	4	1	355	
VS			2	29	AuśDh			5	43	355	
VS			2	29	KŚ		4	1	7	355	agnaye
HG		2	11	3	HG		2	15	10	356	
HG		2	11	3	BDh	2	8	14	7	356	
TB	3	12	2	2	TB	3	12	2	4	359	
TB	3	12	2	2	TB	3	12	2	5	359	
TB	3	12	2	2	TB	3	12	2	6	359	
TB	3	12	2	2	TB	3	12	2	7	359	
TB	3	12	2	2	TB	3	12	2	8	359	
VS			29	60	MS		3	15	10	362	
VS			29	60	KSA			5	10	362	
VS			29	60	ApŚ		20	9	2	362	agnaye gāyatrāya
VSK		3	2	5	KŚ		4	14	23	365	
VS			10	23	TS	1	8	16	2	366	
VS			10	23	MS		2	6	13	366	
VS			10	23	MS		4	4	7	366	
VS			10	23	KS			15	8	366	
VS			10	23	ŚB	5	4	3	15	366	
VS			10	23	TB	1	7	10	6	366	
VS			10	23	AŚ		2	4	8	366	
VS			10	23	ŚŚ		2	10	1	366	
VS			10	23	ApŚ		18	17	14	366	
VS			10	23	ApŚ		18	20	4	366	
VS			10	23	MŚ	9	1	5	4	366	
VS			10	23	KŚ		15	6	23	366	agnaye gṛhapataye
AVP		1	35	1	ApMB		1	4	3	372	
AVP		1	35	1	MG		1	10	8	372	
AVP		1	35	1	VārG			14	10	372	
TS	1	1	8	1	MŚ	1	2	3	18	379	
VS			8	47	ŚB	11	5	9	7	380	
VS			8	47	KŚ		12	5	14	380	agnaye tvā gāyatrachandasam
VS			1	13	KS			1	11	381	
VS			1	13	KS			31	10	381	
VS			1	13	ŚB	1	1	3	11	381	
VS			1	13	ŚB	1	3	3	1	381	
VS			1	13	Kauś			2	15	381	
VS			1	13	KŚ		2	3	37	381	agnaye tvā
Kauś			56	13	JG			1	12	383	
Kauś			56	13	VārG			7	12	383	
MS		1	3	36	KS			30	6	386	
MS		1	3	36	KS			30	7	386	
MS		1	3	36	MŚ	7	1	1	21	386	agnaye tvā pravṛhāmi
VS			7	47	VSK		9	2	8	388	
VS			7	47	MS		1	9	4	388	
VS			7	47	ŚB	4	3	4	28	388	
VS			7	47	ŚŚ		7	18	1	388	
VS			7	47	KŚ		10	2	28	388	agnaye tvā
VS			7	47	MŚ	5	2	14	9	388	agnaye tvā
VS			5	1	TS	1	2	10	1	390	
VS			5	1	TS	6	2	1	3	390	
VS			5	1	MS		1	2	6	390	
VS			5	1	MS		1	3	3	390	
VS			5	1	MS		3	7	9	390	
VS			5	1	MS		4	5	4	390	
VS			5	1	KS			2	8	390	
VS			5	1	KS			3	10	390	
VS			5	1	KS			24	8	390	
VS			5	1	ŚB	3	4	1	13	390	
VS			26	9	VSK		8	12	1	391	
VS			26	9	ŚB	4	5	4	9	391	
MS		4	9	8	TA		5	7	10	392	
MS		4	9	8	KA			2	129	392	
MS		4	9	8	ApŚ		15	10	9	392	
VS			14	7	TS	4	3	4	3	393	
VS			14	7	MS		2	8	1	393	
VS			14	7	KS			17	1	393	
VS			14	7	ŚB	8	2	2	8	393	
VS			14	7	ApŚ		12	16	3	393	
KSA			11	1	MG		2	12	3	400	
KSA			11	1	JG			1	6	400	
KSA			11	1	GopālU			2	97	400	
VS			24	16	ApŚ		20	14	10	401	
VS			24	16	ApŚ		20	15	5	401	agnaye'nīkavate
VS			29	59	KSA			8	3	403	
ŚB	2	2	3	21	ŚB	2	5	2	31	404	
ŚB	2	2	3	21	ŚB	2	5	3	7	404	
ŚB	2	2	3	21	ŚB	2	5	3	12	404	
ŚB	2	2	3	21	ŚB	3	4	4	11	404	
ŚB	2	2	3	21	ApŚ		2	19	6	404	
ŚB	2	2	3	21	ApŚ		7	22	13	404	
ŚB	2	2	3	21	ApŚ		12	20	16	404	
ŚB	2	2	3	21	MŚ	1	3	2	8	404	
ŚB	2	2	3	21	MŚ	1	3	2	14	404	
VSK		3	2	5	Vait			7	19	408	
VSK		3	2	5	KŚ		4	14	25	408	
AVP		2	54	1	KS			15	2	415	
AVP		2	54	1	MŚ	9	1	1	27	415	
AB		1	28	1	MŚ	1	7	3	38	422	
AB		1	28	1	MŚ	5	1	3	13	422	
ŚB	3	5	2	2	ŚB	9	2	3	1	424	
ŚB	3	5	2	2	KŚ		18	3	17	424	
ŚB	3	5	2	2	MŚ	5	1	3	3	424	
TS	1	1	3	1	KS			31	2	428	
TS	1	1	3	1	TB	3	2	3	5	428	
TS	1	1	3	1	ApMB		2	6	9	428	
RV		3	10	5b	TS	3	2	11	1b	430	
TS	6	3	5	3	ŚB	3	4	1	22	431	
TS	6	3	5	3	ApŚ		7	13	1	431	
TS	6	3	5	3	MŚ	1	7	1	42	431	
TS	6	3	5	3	MŚ	5	1	3	1	431	
TS	6	3	5	3	ŚŚ		3	13	16	431	agnaye mathyamānāya
TS	1	8	7	2	ApŚ		18	9	12	435	
VS			29	60	TS	7	5	22	1	443	
VS			29	60	KS			21	10	443	
VS			29	60	KSA			5	10	443	
VS			29	60	KSA			5	19	443	
VS			11	66	MS		2	7	7	446	
VS			11	66	KS			16	7	446	
VS			11	66	AB		7	9	1	446	
VS			11	66	ŚB	6	6	1	20	446	
VS			11	66	AŚ		2	4	14	446	
VS			11	66	KŚ		25	12	10	446	
VS			11	66	ŚG		5	4	2	446	
TS	1	1	5	1	ApŚ		1	19	1	448	
MS		1	1	5	MS		4	1	5	449	agnaye vo juṣṭān
MS		1	1	6	MS		4	1	6	450	agnaye vo juṣṭān
AB		7	8	2	Kauś			56	6	451	
TS	7	5	23	1	TB	3	8	18	5	458	agnaye sam anamat pṛthivyai sam anamat
TS	7	5	23	1	ApŚ		20	12	8	458	agnaye sam anamat pṛthivyai sam anamat
AG		1	21	1a	SMB		1	6	32a	460	
AG		1	21	1a	GG		2	10	46	460	
AG		1	21	1a	PG		2	4	3a	460	
AG		1	21	1a	HG		1	7	2a	460	
AG		1	21	1a	ApMB		2	6	2a	460	
AG		1	21	1a	JG			1	12	460	
AG		1	21	1a	JG			1	12a	460	
AG		1	21	1a	KhG		2	4	26	460	agnaye samidham
TS	6	3	7	1	ŚB	1	3	5	2	462	
TS	6	3	7	1	ŚB	1	3	5	3	462	
TS	6	3	7	1	ŚB	2	5	2	19	462	
TS	6	3	7	1	ŚB	2	6	1	21	462	
TS	6	3	7	1	ŚB	3	7	4	7	462	
TS	6	3	7	1	TB	3	3	7	1	462	
TS	6	3	7	1	KŚ		3	1	1	462	
TS	6	3	7	1	ApŚ		2	12	1	462	
TS	6	3	7	1	MŚ	1	3	1	1	462	
TS	6	3	7	1	N			1	15	462	
TS	6	3	7	1	ŚŚ		1	4	4	462	agnaye samidhyamānāya
