Abbreviation	Abbreviation VC	#entriesVC[21/10/27]	FullName	Group	inVedicCorpus	numChar	School	Source	PageNo
VādhGS			Vādhūlagṛhyasūtra	GS	yes	158796	Black YV		
VādhŚS			Vādhūlaśrautasūtra	ŚS	yes	936522	Black YV		
VaikhDhS			Vaikhānasadharmasūtra	DhS	yes	49665	Black YV		
VaikhGS			Vaikhānasagṛhyasūtra	GS	yes	117396	Black YV	Hillebrandt 1897	28
VaikhŚS	VaikhŚ	17	Vaikhānasaśrautasūtra	ŚS	part	128553	Black YV		
VaitS	Vait	1344	Vaitānasūtra	ŚS	yes	98307	AV		
VājPrāti			Vājasaneyiprātiśākhya	other	yes	50584	White YV		
VaṃśB			Vāṃśabrāhmaṇa	B	yes	4052	SV		
VārGS	VārG	539	Vārāhagṛhyasūtra	GS	yes	36261	Black YV		
VārŚS	VārŚ	5	Vārāhaśrautasūtra	ŚS	no		Black YV		
VasDhS	VāDh	85	Vasiṣṭhadharmasūtra	DhS	yes	102115	RV		
VSK	VSK	772	Vājasaneyisaṃhitā, Kāṇva recension	S	no		White YV		
VSM	VS	9912	Vājasaneyisaṃhitā, Mādhyaṃdina recension	S	yes	311922	White YV		
