id	word	grammar	preverbs	meanings
128	audumbara	n		Udumbara wood; a piece of Udumbara wood; the fruit of the Udumbara tree; a kind of leprosy; copper
129	audgātra	adj		relating to the UdgAtR priest
130	audgātra	n		the office of the Udgātṛ priest
131	auddaṇḍaka	adj		relating to one who holds up a staff
132	auddālaka	n		a kind of honey (taken from certain bees which live in the earth); name of a TIrtha
133	auddālakāyana	m		descendant of AuddAlaki
134	auddālaki	m		a descendant of Uddālaka; name of several men
135	auddeśika	adj		pointing out; indicative of; showing; enumerating; prepared for the sake of (mendicants; said of alms)
136	auddhatya	n		arrogance; insolence; overbearing manner; disdain
137	auddhava	m		grass left over of the sacrificial straw
138	auddhava	n		consisting of sacrificial grass
139	auddhava	adj		coming from or spoken by Uddhava; relating to Uddhava
140	auddhārika	adj		belonging to or forming the part to be set aside
141	audbilya	n		excessive joy
142	audbhaṭa	m		the pupils of Udbhafa
143	audbhāri	m		descendant of UdbhAra; name of Ṣaṇḍika
144	audbhijja	adj		coming forth from the earth
145	audbhijja	n		fossil salt
146	audbhida	adj		coming forth; springing forth; breaking through; issuing from; forcing one's way towards an aim; victorious
147	audbhida	n		fossil salt; water breaking through (the earth and collecting in a mine); [min.] = romaka; name of a Varṣa
148	audbhidya	n		forcing one's way to an aim; success; victory
149	audbhettra	n		victory
150	audbhettriya	n		victory; Sieghaftigkeit
151	audyāva	adj		treating of the art of mixing or joining (?)
152	audvāhika	adj		relating to or given at marriage
153	audvepa	adj		resulting from tremor or trembling (?)
154	audhasa	adj		being or contained in the udder (as milk)
155	audheya	m		name of a family; name of a school (belonging to the White Yajurveda)
156	aunnatya	n		elevation; height
157	aunnetra	n		office of the UnnetR priest
158	aunmukhya	n		expectancy
159	aupakarṇika	adj		being on or near the ears
160	aupakalāpya	adj		being on or near the girdle
161	aupakāyana	m		descendant of Upaka; name of an author
162	aupagava	adj		coming from or composed by Upagu
163	aupagava	n		name of two Sāmans
164	aupagavaka	n		assemblage of Aupagavas
165	aupagavaka	m		admirer or worshipper of Upagu
166	aupagavi	m		descendant of Aupagava; name of Uddhava
167	aupagavīya	m		pupil of Aupagavi
168	aupagātra	n		state of an Upagātṛ
169	aupagrastika	m		sun or moon in eclipse
170	aupagrahika	m		sun or moon in eclipse
171	aupacārika	adj		honorific; complimentary (as a name or title); not literal; figurative; metaphorical
172	aupacchandasika	adj		conformable to the Veda
173	aupacchandasika	n		name of a metre (consisting of four lines of alternately eleven and twelve syllabic instants)
174	aupajandhani	m		descendant of Upajandhani; name of a teacher
175	aupajānuka	adj		being on or near the knees
176	aupatasvini	m		descendant of Upatasvina; name of a Rzi
177	aupadeśika	adj		living by teaching; depending on or resulting from a special rule; denoting or relating to an originally enunciated grammatical form
178	aupadeśikatva	n		state of resulting from a special rule
179	aupadravika	adj		relating to or treating of symptoms
180	aupadraṣṭrya	n		state of being an eye-witness; super-intendence
181	aupadharmya	n		false doctrine; heresy
182	aupadhika	m		impostor; cheat; extortioner of money
183	aupadheya	adj		serving for the Upadhi (a particular part of the wheel of a carriage)
184	aupadheya	n		the part of a wheel called Upadhi
185	aupadhenava	m		descendant of Upadhenu; name of a physician
186	aupanāyika	adj		belonging to or serving for an offering
187	aupanāyanika	adj		relating to or fit for the ceremony called Upanayana
188	aupanāsika	adj		being on or near the nose
189	aupanidhika	adj		relating to or forming a deposit
190	aupaniṣatka	adj		subsisting by teaching an Upanishad
191	aupaniṣada	adj		contained or taught in an Upanishad; follower of the Upanishads; Vedāntin
192	aupaniṣadika	adj		Upanishad-like; concerning the last chapter of Kāmasūtra
193	aupanīvika	adj		on or near the NIvi
194	aupapakṣya	adj		being in the arm-pit (as hair)
195	aupapattika	adj		present; ready at hand; fit for the purpose
196	aupapatya	n		intercourse with a paramour; adultery
197	aupapātika	adj		one who has committed a secondary crime
198	aupapāduka	adj		self-produced
199	aupapādika	adj		self-produced
200	aupabāhavi	m		descendant of UpabAhu
201	aupabindavi	m		descendant of Upabindu
203	aupabhṛta	adj		belonging to or being in the ladle called Upabhṛt
204	aupamanyava	m		descendant of Upamanyu; name of a school belonging to the Yajurveda; name of an ancient teacher
205	aupamānika	adj		derived by analogy
206	aupamika	adj		serving for or forming a comparison
207	aupamya	n		state or condition of resemblance or equality; similitude; comparison; analogy
208	aupayaja	adj		belonging to the verses called Upayaj; (Kohlen) f￼r das Zuopfer
209	aupayika	adj		answering a purpose; leading to an object; belonging to; obtained through a means or expedient
210	aupayika	n		means; expedient
211	aupayikatā	f		fitness; properness
212	aupayaugika	adj		relating to the application of (a remedy etc.)
213	aupara	m		descendant of Upara; name of Daṇḍa
214	auparava	adj		relating to the hole called Uparava
215	auparājika	n		relating to a viceroy
217	auparādhayya	n		state of being serviceable or officious
218	aupariṣṭa	adj		being above
219	aupariṣṭaka	n		a kind of coitus
220	auparodhika	adj		relating to a check or hindrance; staff of the wood of the PIlu tree
221	aupala	adj		made of stone; stony; raised from stones (as taxes)
222	aupalā	f		name of a Śakti
223	aupavasathika	adj		designed for or belonging to the Upavasatha ceremony
224	aupavasathika	n		name of a PariSizfa of the SAmaveda
225	aupavasta	n		fasting; fast
226	aupavastra	n		fasting
227	aupavastraka	n		food suitable for a fast
228	aupavāsa	adj		given during fasting; relating to fasting
229	aupavāsika	adj		fit or suitable for a fast
230	aupavāsya	n		fasting
231	aupavāhya	adj		designed for driving or riding (as a carriage or elephant etc.)
232	aupavāhya	m		a king's elephant; any royal vehicle
233	aupavītika	n		investiture with the sacred thread
234	aupaveśi	m		descendant of Upaveśa; name of Aruṇa
235	aupaveṣika	adj		living by entertainment (?)
236	aupaśada	m		name of an Ekﾃha
237	aupaśamika	adj		(with Jainas) resulting from the ceasing (of the effects of past actions)
238	aupaśāla	adj		near the house or hall
239	aupaśivi	m		descendant of UpaSiva; name of a grammarian
240	aupaśleṣika	adj		connected by close contact
241	aupasaṃkramaṇa	adj		that which is given or proper to be done on the occasion of passing from one thing to another
242	aupasaṃkhyānika	adj		depending on the authority of any addition or supplement; mentioned or occurring in one addition or supplement; supplementary
243	aupasada	adj		occupied with or relating to the Upasad ceremony
244	aupasaṃdhya	adj		relating to dawn Naish
245	aupakurvāṇaka	n		coming from or composed by Upagu; name of two SAmans
246	aupasargika	adj		superior to adversity; able to cope with calamity; infectious (as a disease); connected with a preposition; prepositive; portentous
247	aupasargika	m		irregular action of the humors of the body (producing cold sweat etc.)
248	aupasīrya	adj		being on or near a plough
249	aupasthāna	adj		one whose business is to serve or wait on or worship
250	aupasthānika	adj		one who lives by waiting on or worshipping
251	aupasthika	adj		living by the sexual organ (i.e. by fornication)
252	aupasthya	n		cohabitation; sexual enjoyment
253	aupasthūṇya	adj		being near or on a post
254	aupasvastī	f		name of a woman
255	aupasvastīputra	m		name of a teacher
256	aupahastika	adj		living by presents
257	aupahārika	adj		fit for an offering
258	aupahārika	n		that which forms an oblation; oblation; offering
259	aupākaraṇa	adj		relating to the preparatory ceremony before beginning the study of the Veda
260	aupākaraṇa	n		time of the preparatory ceremony before beginning the study of the Veda
261	aupādānika	adj		effected by assuming or adopting
262	aupādhika	adj		relating to or depending on special qualities; limited by particular conditions; valid only under particular suppositions
263	aupādhyāyaka	adj		coming from a teacher
264	aupānahya	adj		serving or used for making shoes
265	aupāvi	m		a descendant of Upāva; name of Jānaśruteya
