id	word	grammar	preverbs	meanings
45496	upalakṣaka	adj		observing closely or with attention; implying; designating by implication
45497	upalakṣaṇa	n		the act of observing; designation; the act of implying something that has not been expressed; implying any analogous object where only one is specified; using a term metaphorically or elliptically or in a generic sense; synecdoche (of a part for the whole); a mark
45498	upalakṣaṇatā	f		the being implied or expressed eliptically
45505	upalabdhārtha	adj		(a statement, tale etc.) the meaning or plot of which is known; true; probable
45506	upalabdhavya	adj		to be perceived
45507	upalabdhi	f		obtainment; acquisition; gain; conception; observation; perceiving; perception; becoming aware; understanding; mind; knowledge; perceptibility; appearance
45508	upalabdhimat	adj		perceiving; understanding; perceptible; intelligible
45509	upalabdhisama	m		(in log.) a kind of sophistical refutation of an argument
45510	upalabdhṛ	adj		one who perceives
45512	upalambha	m		obtainment; perceiving; ascertaining; recognition
45513	upalambhaka	adj		perceiving; causing to perceive; reminding
45514	upalambhana	n		apprehension; perceiving; the capacity of perceiving; intelligence
45515	upalambhya	adj		worthy to be acquired
45516	upalābha	m		grasping; catching
45517	upalipsā	f		wish to obtain
45518	upalipsu	adj		wishing to learn or hear
45519	upalālana	fn		the act of caressing; fondling
45521	upaliṅga	n		a portent; natural phenomenon considered as boding evil
45523	upalepa	m		the act of besmearing (with cow-dung); obstruction (by phlegm); bluntness; dullness; Verschleimung; [alchemy]
45524	upalepana	n		the act of besmearing (with cow-dung); a means of besmearing; cow-dung
45525	upalepin	adj		obstructing; smearing; anointing; serving as ointment
45526	upalekha	m		name of a grammatical work connected with the Prātiśākhyas
45527	upalekhapañjikā	f		
45528	upaloha	n		a secondary metal
45529	upavaṅga	m		name of a people
45530	upavaktṛ	m		one who rouses or animates or impels; name of a priest
45531	upavāka	m		praising; addressing; encouragement; Anrede
45532	upavākya	adj		to be addressed or praised
45533	upavācya	adj		to be addressed or praised
45535	upavaṭa	m		the tree Buchnania Latifolia
45536	upavat	adj		containing the word upa
45537	upavatī	f		a verse beginning with upa
45538	upavāda	m		censure; blame
45539	upavādin	adj		censuring; blaming
45540	upavana	n		a small forest or wood; grove; garden; a planted forest
45541	upavanavinoda	m		name of a work
45542	upavanam	ind		near a wood; in the wood
45543	upavapana	n		the act of strewing over
45544	upavarṇana	n		description; minute description; delineation; glorification; praise
45547	upavarṣa	m		name of a younger brother of Varṣa
45548	upavallikā	f		name of a plant
45549	upavalha	m		impetuosity; superiority (?)
45550	upavatsyadbhakta	n		food taken before fasting
45551	upavasatha	m		a fast-day (esp. the day preceding a Soma sacrifice); the period of preparation for the Soma sacrifice; a place of abiding
45552	upavasathīya	adj		belonging to the Upavasatha day or to the preparation for a Soma sacrifice
45553	upavasathya	adj		belonging to the Upavasatha day or to the preparation for a Soma sacrifice
45554	upavasana	n		a fast; fasting; the state of abiding or being near
45556	upavasta	n		a fast; fasting
45558	upavastṛ	m		one who fasts
45559	upavastrādi	m		name of a gaṇa
45560	upavāsa	m		a fast; fasting (as a religious act comprising abstinence from all sensual gratification); abstinence from food etc. in general; kindling a sacred fire; a fire altar
45561	upavāsavratin	adj		one who observes a vow of fasting
45562	upavāsaka	adj		belonging to a fast or fasting
45563	upavāsin	adj		one who observes a fast; fasting
45564	upoṣaṇa	n		a fast; fasting
45566	upoṣita	n		a fast; fasting
45568	upavaha	n		a piece of wood placed on the neck of an ox under the yoke (to raise it to the right level for a yoke-fellow of greater height); a shoulder-piece
45569	upavāha	m		driving; riding; name of a people
45570	upavāhana	n		the act of bringing or carrying near
45571	upavāhin	adj		flowing or streaming towards
45572	upavāhya	adj		to be brought near; serving for driving or riding
45573	upavāhya	m		a king's elephant; any royal vehicle; an animal for riding
45575	upoḍhā	f		a second or inferior but favourite wife
45576	upavā	f		the act of blowing upon
45577	upavāta	adj		blown upon
45578	upavākā	mf		Indra-grain
45579	upavājana	n		a fan
45580	upavāsana	n		a dress; garment; cover; fast
45581	upavicāra	m		environs; neighbourhood
45582	upavid	f		ascertaining; learning; investigating; finding out; inquiring into
45583	upavedana	n		ascertainment; learning
45585	upavidyā	f		inferior knowledge; profane science
45586	upavindhya	m		the land near the Vindhya mountain
45587	upavimokam	ind		unharnessing, i.e. changing (the oxen)
45589	upaviṣṭaka	m		a foetus which remains in the womb beyond the usual time
45590	upaveśa	m		the act of sitting down; sitting; resting; the act of applying one's self to or being engaged in; stool; motion; name of a Ṛṣi
45591	upaveśana	n		the act of sitting down; a seat; the being devoted to or engaged in; evacuation or motion of the bowels; causing to sit down; a house
45592	upaveśi	m		name of a Ṛṣi
45593	upaveśita	adj		caused to sit down; seated; caused to settle
45594	upaveśin	adj		devoting or applying one's self to; one who has a motion of the bowels
45595	upaveṣa	m		a stick (of green wood) used for stirring the sacrificial fire; a shovelling-stick; a poking-stick; tisonnier en bois de varaṇa, ￠ 2 ou 5 pointes en forme de main; Sch￼rhaken
45596	upaviṣa	mn		factitious poison; a narcotic; any deleterious drug (as opium); a kind of varga
45597	upaviṣā	f		the plant Aconitum Ferox
45598	upavījita	adj		blown upon; fanned
45599	upavīra	m		a kind of demon
45600	upavṛṃhaṇa	n		the act of making strong; invigorating; promoting
45601	upavṛṃhita	adj		made strong or powerful; invigorated; supported; promoted; increased or supported or aided by; accompanied by
45602	upavṛṃhin	adj		invigorating; supporting
45603	upavarta	m		a particular high number
45604	upavartana	n		the act of bringing near; a place for exercise; a country (inhabited or not)
45605	upavṛtta	adj		come near; approached; come back; brought back (from exhaustion etc.); recovered; (in geom.) a circle in a particular position relatively to another one
45606	upavṛtti	f		motion towards (one's place)
45607	upota	adj		put into; wrapped; enveloped (in armour or mail)
45608	upaveṇā	f		name of a river
45609	upaveda	m		name of a class of writings subordinate or appended to the four Vedas
45610	upaveṣṭana	n		the act of wrapping up; swathing
45612	upaveṣṭitin	adj		one who has wrapped himself round the loins in a cloth
45613	upavāta	adj		dried up; dry
45614	upavaiṇava	n		the three periods of the day
45615	upavyākhyāna	n		explanation; interpretation
45616	upavyāghra	m		the small hunting leopard
45617	upavyuṣam	ind		about dawn; beim Verschwinden der Morgenr￶te
45618	upavyuṣasam	ind		about dawn
45619	upavīta	adj		invested with the sacred thread
45620	upavīta	n		the being invested with the sacred thread; the sacred thread or cord (worn by the first three classes over the left shoulder and under the right arm)
45621	upavītaka	n		the sacred thread
45622	upavītin	adj		wearing the sacred cord in the usual manner (over the left shoulder and under the right arm)
45623	upavrajam	ind		near a cattle pen
45624	upaśāka	m		a helper; companion
45625	upaśikṣā	f		desire of learning; learning; acquisition; enticement
45627	upaśada	m		a particular Ekāha or sacrifice during one day; removal of an impediment to get children
45628	upaśapha	m		a hind hoof
45629	upaśama	m		the becoming quiet; assuagement; alleviation; stopping; cessation; relaxation; intermission; tranquillity of mind; calmness; patience; (in astron.) name of the twentieth Muhūrta
45630	upaśamakṣaya	m		(with Jainas) the destruction (of activity etc.) through quietism
45631	upaśamavat	adj		placid; calm; tranquil
45632	upaśamaśīla	adj		placid; calm; tranquil
45633	upaśamāyana	adj		going to or obtaining tranquillity of mind
45634	upaśamana	adj		calming; appeasing
45635	upaśamana	n		the becoming extinct; ceasing; calming; appeasing; mitigation; an anodyne
45636	upaśamanīya	adj		to be appeased or made quiet; serving as an anodyne; calming; appeasing
45638	upaśāntavaira	adj		one whose enmity has ceased; reconciled; pacified
45639	upaśāntātman	adj		one whose mind is pacified; placid
45640	upaśānti	f		cessation; intermission; remission; tranquillity; calmness
45641	upaśāntin	adj		appeased; tranquil; calm; tame
45642	upaśāntin	m		a tame elephant
45643	upaśāmaka	adj		calming; quieting; affording repose; making patient
45644	upaśaradam	ind		at or near the autumn
45645	upaśalya	m		a small spear or lance tipped with iron
45646	upaśalya	n		a neighbouring district; environs; the ground near a village; the ground at the base or edge of a mountain
45647	upaśalyaka	n		a small piece of ground near a village
45648	upaśākhā	f		a smaller branch of a tree; little branch
45649	upaśāla	n		a place or court in front of a house
45650	upaśālam	ind		near a house
45651	upaśāstra	n		a minor science or treatise
45652	upaśiṅghana	n		(in med.) anything given to smell at
45653	upaśiras	ind		upon the head
45654	upaśiva	m		name of a man
45655	upaśiṣya	m		the pupil of a pupil
45656	upaśaya	adj		lying near at hand or close by; lying ready for use
45657	upaśaya	m		one of the Yūpas (or posts to which the sacrificial animal is tied); the lying near or by the side of; a kind of hole in the ground (placed near the track of wild animals); (in med.) the allaying (of diseases) by suitable remedies; suitableness; usefulness; advantageous medicine; the liking; predilection (of a sick person as for coolness etc.); diagnosis by the effect of certain articles of food or medicine
45658	upaśayā	f		a piece of clay prepared and ready for use
45660	upaśayastha	adj		lying in ambush (as a hunter)
45661	upaśāya	m		the turn for lying down or sleeping with
45662	upaśāyaka	adj		sleeping alternately with
45663	upaśāyaka	m		name of a man
45664	upaśāyin	adj		lying near to or by the side of; lying; sleeping; lying down; going to bed; allaying; tranquillizing; anything that calms; (in med.) composing; narcotic
45665	upaśāyitā	f		tranquillization; calming
45666	upaśāyitva	n		tranquillization; calming; means of allaying disease (as diet etc.)
45667	upaśīrṣaka	n		a kind of disease of the head; a kind of necklace or garland
45668	upaśunam	ind		near a dog
45669	upaśobhana	n		the act of adorning; ornamenting
45671	upaśobhikā	f		ornament; decoration
45673	upaśobhin	adj		name of beautiful appearance; brilliant
45674	upaśoṣaṇa	adj		the act of causing to dry up or shrink
45675	upaśoṣita	adj		made dry; dried; dry
45676	upaśobhā	f		ornament; secondary ornament or decoration
45677	upaśrita	adj		placed near; brought to the attention of; leaning towards or upon
45678	upaśrī	f		an over-garment (fitting closely)
45680	upaśruti	m		name of an evil spirit
45681	upaśruti	f		giving ear to; range of hearing; rumour; a kind of supernatural oracular voice
45682	upaśrotṛ	m		a listener; hearer
45683	upaślāghā	f		boasting; brag; swagger
45685	upaśleṣa	m		close contact; contiguity; embrace
45686	upaśleṣaṇa	n		the act of joining or fixing on; sewing together
45687	upaśloka	m		name of the father of the tenth Manu
45688	upaśvasa	m		breeze; draught of air
45689	upasaṃyama	m		bringing into close contact; wedging in
45690	upasaṃyamana	n		the act of fixing one thing to another; a means of fastening together
45691	upasaṃyoga	m		a secondary or subordinate connection; modification
45692	upasaṃroha	m		growing over or together; cicatrizing
45693	upasaṃvāda	m		agreeing together; agreement
45694	upasaṃveśana	n		"the act of praying (the wife of the deceased) to lie down by the side (of the corpse)"
45696	upasaṃvyāna	n		an under garment
45697	upasaṃśliṣṭatva	n		coherency
45698	upasaṃskāra	m		a secondary or supplementary Saṃskāra
45699	upasaṃskṛta	adj		prepared; dressed; cooked (as food); prepared; arranged; adorned
45700	upasaṃharaṇa	n		the act of withdrawing
45702	upasaṃhāra	m		the act of withdrawing; withholding; taking away; drawing towards one's self; bringing near; summarizing; summing up; conclusion; epilogue; name of the concluding chapters in several books; suppression; subduing; end; death; destruction; collection or provision (esp. of food and drink); furnishing; providing (of other things); production; the act or process of producing or causing; production in words; presentation (orally); statement; declaration; proclamation (esp. of something of religious nature)
45703	upasaṃhāraprakaraṇa	n		name of a work
45704	upasaṃhārin	adj		comprehending; exclusive
45706	upasaṃhṛti	f		comprehension; conclusion; (in dram.) the end or conclusion; the catastrophe
45708	upasaṃkramaṇa	n		the act of going over towards
45709	upasaṃkrānta	adj		turned to; changed into (another meaning)
45710	upasaṃkrānti	f		the being conveyed across; reaching the other side
45711	upasaṃkṣepa	m		a concise abridgement or summary; an abstract compendium
45712	upasaṃkhyāna	n		the act of adding; annumeration; further enumeration
45713	upasaṃkhyeya	adj		to be added or enumerated in addition to
45714	upasaṃgata	adj		come together; assembled; united; joined
45715	upasaṃgamana	n		the act of coming together; sexual union
45716	upasaṃgṛhīta	adj		seized; taken into custody
45717	upasaṃgraha	m		the act of clasping round; embracing; embrace (esp. of the feet of a revered person); respectful salutation; polite address (performed by touching the feet of the addressed person with one's hands); clasping (a woman); bringing together; collecting; joining; a pillow; cushion
45718	upasaṃgrahaṇa	n		the act of clasping round; embracing (e.g. the feet); respectful salutation (by embracing the feet)
45720	upasaṃghāta	m		the act of collecting (one's ideas)
45721	upasaṃcāra	m		access; entrance
45722	upasakta	adj		attached to; depending on (worldly desires)
45723	upasaṃjāta	adj		appeared; present
45724	upasattva	n		the being an Upasad ceremony
45725	upasatpatha	m		the path or way of the Upasad ceremony
45726	upasatti	f		connection with; union; service; worship; gift; donation
45727	upasattṛ	m		one who has seated himself near or at (esp. at the domestic fire); any person who is domiciled; the inhabitant of a house; an attendant
45728	upasad	adj		approaching (respectfully); worshipping; serving
45729	upasad	m		name of a particular fire
45730	upasad	f		attendance; worship; service; settlement (?); siege; assault; name of a ceremony or sacrificial festival preceding the Sutyā or pressing of the Soma; im Somaritual eine Anzahl auf den Kampf der G￶tter mit den D￤monen anspielender mythisch-symbolischer iṣṭis, die an drei aufeinanderfolgenden Tagen zwischen der Weihe (dīkṣā) und dem Pre￟tag (sutyā) vollzogen werden
45731	upasadrūpa	n		in the form of an Upasad ceremony
45732	upasadvan	adj		receiving reverence or worship (in a Mantra)
45733	upasadvrata	n		a particular observance prescribed for the Upasad ceremony (consisting principally of drinking milk in certain quantities)
45734	upasadvratin	adj		performing the above observance
45735	upasada	adj		one who goes near
45736	upasada	m		the Upasad ceremony; approach; gift; donation
45737	upasadī	f		continuous propagation
45738	upasadana	n		the act of approaching (respectfully); respectful salutation; approaching (a work); setting about; undertaking; approaching or going to (a teacher [gen.] to learn any science or art [loc.]); performing (a ceremony or sacrifice); neighbouring abode; neighbourhood
45741	upasādana	n		the act of placing or putting upon; approaching respectfully; reverence; respect
45743	upasaṃtāna	m		close accompaniment or connection or junction (in reciting Mantras etc.)
45745	upasaṃdhyam	ind		about twilight
45746	upasaṃnaddha	adj		tied on or to
45747	upasaṃnyāsa	m		abandonment; leaving off; giving up
45748	upasapatni	ind		towards or near a fellow-wife
45749	upasamādhāna	n		the act of placing upon; accumulation
45750	upasamāhita	adj		placed; kindled (as fire)
45751	upasamāhārya	adj		to be brought together; to be prepared or arranged
45752	upasamidham	ind		near the fuel
45753	upasamit	ind		near the fuel
45754	upasamindhana	n		the act of kindling
45755	upasamūhana	n		the act of drawing together or in
45756	upasaṃpatti	f		the approaching or reaching or entering into any condition; coming up to; acquisition
45757	upasaṃpadā	f		the act of entering into the order of monks
45758	upasaṃpanna	adj		arrived at; reached; obtained; one who has reached; furnished with; familiar with; staying or dwelling in the same house; finished; prepared; dressed; cooked; enough; sufficient; dead; deceased; immolated; sacrificed (as a victim)
45759	upasaṃpādana	n		the act of causing to come up with; making equivalent
45761	upasaṃbhāṣā	f		talking over; friendly persuasion
45762	upasādhaka	adj		preparing; dressing
45763	upasāntvana	n		the act of appeasing; soothing; kind words
45764	upasāntvita	adj		appeased; made quiet
45766	upaseka	m		sprinkling upon; infusion
45767	upasektṛ	m		one who pours upon or sprinkles
45768	upasecana	adj		pouring upon or sprinkling; serving for sprinkling
45769	upasecanī	f		a ladle or cup for pouring
45770	upasecana	n		the act of pouring upon; sprinkling; anything poured over or upon; infusion; juice; sauce; Zuguss; Br￼he
45771	upasīma	ind		near the boundary (of a field)
45772	upasīram	ind		near or on a plough
45773	upasunda	m		name of a Daitya; brother of Sunda
45774	upasuparṇam	ind		upon Garuḍa
45776	upasūtikā	f		a midwife
45777	upasūryaka	m		a kind of beetle or glow-worm (?); fire-fly
45778	upasūryaka	n		halo of the sun
45779	upasara	m		approach; the approach (of a male to a female); covering (a cow); impregnation
45780	upasaraja	adj		produced by impregnation; the young of an animal (?)
45781	upasaraṇa	n		the act of coming near; approaching; approach; going or flowing towards; (in med.) accumulation of blood; congestion; a refuge; shelter
45783	upasaryā	f		to be covered or impregnated (as a female)
45784	upasārya	adj		to be approached
45785	upasṛta	adj		one who has approached; come near (esp. for protection); approached; applied to; asked for; furnished with; having
45786	upasṛtavat	adj		one who has approached
45787	upasarga	m		addition; misfortune; trouble; a natural phenomenon (considered as boding evil); an eclipse (of a star); (in med.) a fit; paroxysm (supposed to be possession by an evil spirit); a disease superinduced on another; change occasioned by any disease; indication or symptom of death; a Nipāta or particle joined to a verb or noun denoting action; a preposition; an addition (to a verse)
45788	upasargavāda	m		
45789	upasargin	adj		adding; one who adds
45790	upasarjana	n		the act of pouring upon; infusion; an inauspicious phenomenon; eclipse; anything or any person subordinate to another; a substitute; representation; (in Gr.) subordinate; secondary (opposed to pradhāna); any word which by composition or derivation loses its original independence while it also determines the sense of another word (e.g. the word rājan in rājapuruṣa)
45791	upasarjanī	f		infusion; kneading-water
45793	upasṛṣṭa	adj		let loose towards; sent or thrown off; admitted (as the calf to its mother); increased; furnished with; furnished with an Upasarga or preposition; visited; afflicted; burdened with; plagued; obscured (by Rāhu); eclipsed; possessed (by a god or demon)
45794	upasṛṣṭa	n		coition; sexual intercourse
45795	upasarpa	m		approaching; approach; sexual approach
45796	upasarpaṇa	n		the act of approaching softly; advancing towards; going or stepping out softly
45797	upasarpitaka	n		approach; advancing towards
45798	upasarpin	adj		creeping near; approaching
45800	upasṛpya	adj		to be approached
45801	upasena	m		name of a pupil of Śākyamuni
45802	upasevaka	adj		doing homage; courting (e.g. the wife of another)
45803	upasevana	n		the act of doing homage; courting (e.g. the wife of another); service; worship; honouring; addiction to; using; enjoying; experiencing; suffering
45804	upasevā	f		homage; worship; courting; addiction to; use; enjoyment; employment
45805	upasevin	adj		ifc. serving; doing homage; worshipping; addicted or devoted to
45806	upasoma	m		one who has approached the Soma; a Soma sacrificer
45807	upastabdha	adj		supported; stayed
45808	upastambha	m		stay; support; strengthening; encouragement; incitement; excitement; base; basis; ground; occasion; support of life
45809	upastambhaka	adj		supporting; promoting; encouraging
45810	upastambhana	n		a support; stay; (yoke) support
45811	upasti	adj		being lower or inferior; subordinate; subject; submissive; vassal
45812	upastitaram	ind		more inferior; more subject
45813	upaṣṭut	adj		praised; invoked
45814	upastava	m		praise
45816	upastuta	m		name of a Ṛṣi
45817	upastuti	f		celebration; invocation; praise; Beifall
45818	upastutya	adj		to be praised
45819	upastara	m		anything laid under; a substratum
45820	upastaraṇa	n		the act of spreading over; a cover; the act of spreading out under; anything laid under; an undermattress; pillow; the act of pouring under; pouring out so as to form a substratum; a substratum (said of the water which is sipped before taking food); scattering grass (round the Āhavanīya and Gārhapatya fire); a couch; levelling (the floor of a house)
45821	upastāra	m		anything poured under
45822	upastir	f		anything spread over; a cover; Aufguss; Unterlage
45824	upastrī	f		a subordinate wife; a concubine
45825	upatiṣṭhāsu	adj		wishing or being about to betake one's self to
45826	upastha	m		lap; middle or inner part of anything; a well-surrounded or sheltered place; secure place
45827	upastha	mn		the haunch or hip; the anus; the generative organs (esp. of a woman); Sitzhaltung; crotch
45828	upasthakṛta	adj		one who has formed a lap by sitting down; seated with the legs bent down
45829	upasthadaghna	adj		reaching to the lap
45830	upasthanigraha	m		restraint of sexual desire
45831	upasthapattra	m		the Indian fig tree
45832	upasthapadā	f		a particular artery leading to the generative organs (of a male)
45833	upasthapāda	adj		sitting with the legs bent down (so as to form a lap)
45834	upasthasad	adj		sitting in the lap or in the centre of
45835	upastha	adj		standing upon; standing by the side of; being near at hand; near
45836	upasthaka	n		membrum virile
45838	upasthātṛ	m		one who is near at hand; an attendant; servant; waiter; nurse; one who makes his appearance
45839	upasthāna	n		the act of placing one's self near to; going near; approach; access; coming into the presence of; going near to (in order to worship); worshipping; waiting on; attendance; standing near; presence; proximity; nearness; staying upon or at; abiding; a place of abiding; abode; assembly; any object approached with respect; a sanctuary; abode (of a god); a particular part of the Saṃdhyā; a shrine (for the images of the gods)
45840	upasthānagṛha	n		an assembly-room
45841	upasthānaśālā	f		the assembly-room (of a monastery)
45842	upasthānasāhasrī	f		name of a work
45844	upasthāpaka	adj		causing to turn one's attention (to a past event or one of a former birth); causing to remember
45845	upasthāpana	n		the act of placing near; having ready for
45846	upasthāpanā	f		the act of ordaining (a monk); the causing to remember; calling to mind
45848	upasthāpya	adj		to be produced or effected
45849	upasthāyaka	m		a servant
45850	upasthāyam	ind		p. standing near; keeping one's self fast to
45851	upasthāyika	m		a servant; a keeper; nurse
45852	upasthāyin	adj		one who makes his appearance; arriving
45853	upasthāyuka	adj		going near to; approaching
45854	upasthāvan	adj		standing near or at hand
45855	upasthāvara	adj		standing near or at hand
45857	upasthita	m		a door keeper; porter
45858	upasthitā	fn		name of several metres
45859	upasthita	n		a word followed by iti (in the Pada-pāṭha)
45860	upasthitapracupita	n		name of a particular metre
45861	upasthitavaktṛ	m		a ready speaker; an eloquent man
45862	upasthitasaṃprahāra	adj		being about to engage in battle; having battle at hand
45863	upasthiti	f		standing near; approach; presence; proximity; accomplishing; completeness; obtaining; getting; remaining; the faculty of remembering; memory
45865	upasthūṇam	ind		on a post
45866	upasnihiti	f		the becoming wet; moistening
45867	upasneha	m		the moistening; becoming wet; attracting moisture; nutrient
45868	upaspijam	ind		with emulation; emulatively
45869	upasparśa	m		touching; contact; washing; bathing; ablution (as a religious act); sipping water (from the palm of the hand and swallowing it as a ceremonial)
45870	upasparśana	n		the act of touching; ablution; bath; sipping water
45871	upasparśin	adj		ifc. touching; bathing in
45872	upaspṛś	adj		touching
45873	upaspṛś	f		name of the verse; Handreichung
45875	upasmāram	ind		p. having remembered; remembering
45876	upasmṛti	f		a minor law-book
45877	upasravaṇa	n		the flowing out; termination of the periodical flow of a woman
45878	upasrotas	ind		on the river
45879	upasvatva	n		the produce or profit of property (as corn etc.)
45880	upasvāvant	m		name of a son of Satrājit
45881	upasveda	m		moisture; sweat; vapour
45882	upasvedana	n		the causing to sweat (by sudorifics)
45883	upahadana	n		the act of discharging excrement upon
45887	upahataka	adj		ill-rated; unfortunate; unlucky
45888	upahati	f		hurt; damage; injure; oppression; a dust-heap
45889	upahatnu	adj		hitting; hurting; destroying (enemies)
45890	upahatyā	f		hurt; damage; morbid affection (as of the eyes); attack (?); harm
45892	upahantṛ	adj		one who hurts or destroys; a destroyer; pernicious; unwholesome
45894	upahasita	n		laughter accompanied by shaking the head
45895	upahasvan	adj		laughing at; deriding; mocking
45896	upahāsa	m		laughter; derision; mockery; jeer; ridiculousness; fun; play; jest; sport; sex; flirt
45897	upahāsagir	f		a joke; jest
45898	upahāsāspada	n		a laughing-stock
45899	upahāsaka	adj		ridiculing others; jocose
45900	upahāsaka	m		a jester
45901	upahāsaka	n		drollery; fun
45902	upahāsin	adj		deriding; ridiculing
45903	upahāsya	adj		to be laughed at or derided; ridiculous
45904	upahāsyatā	f		the state of being to be laughed at or derided; ridiculousness
45905	upahasta	m		the act of taking with the hand; receiving; the front part of the hand (?)
45906	upahastikā	f		a box for betel or condiments
45907	upahālaka	m		name of a people
45908	upahita	adj		good in a secondary degree; somewhat good
45909	upahita	n		a secondary good
45910	upahavya	m		a secondary or supplementary libation or sacrifice; name of a particular religious act
45911	upajihīrṣā	f		the wish or intention to take away or to rob
45912	upaharaṇa	n		the act of bringing near; proffering; offering; presenting victims; distributing or serving out food; taking; seizing
45913	upaharaṇīya	adj		to be offered or presented
45915	upahartṛ	adj		one who offers or presents; one who serves out (food); a host
45916	upahāra	mn		offering; oblation (to a deity); complimentary gift; present (to a king or superior); a particular kind of alliance (purchased through a gift); food (distributed to guests etc.); (with the Pāśupatas) a kind of religious service
45918	upahārapaśu	m		a victim
45919	upahāravarman	m		name of a man
45920	upahāraka	mf		oblation; gift; present; an offering
45921	upahārin	adj		offering; presenting; sacrificing
45922	upahārīcikīrṣu	adj		intending to sacrifice any one
45923	upahārya	adj		to be offered as an oblation; to be presented
45924	upahārya	n		an offering; oblation
45926	upahoma	m		an additional or supplementary sacrifice; eventuelles Zuopfer
45927	upahvara	m		a winding or circuitous course full of turnings; uneven or rough ground; slope; declivity; a car; carriage
45928	upahvara	n		proximity; nearness; a solitary or private place; Versteck
45930	upahava	m		calling to; inviting; invitation; renown; consent
45932	upahūta	m		name of Śākalya; name of particular manes
45933	upahūti	f		calling (to fight); challenging; challenge
45934	upahvāna	n		the act of inviting; invitation
45935	upāṃśu	ind		secretly; in secret; in a low voice; in a whisper; silently
45936	upāṃśu	m		a prayer uttered in a low voice (so as not to be overheard); a particular Soma oblation
45937	upāṃśukrīḍita	m		a person jested with privately; the companion of (a king's) private amusements
45938	upāṃśugraha	m		the first Graha or ladle-full of Soma pressed out at a sacrifice
45939	upāṃśutā	f		the being uttered in a low voice or whisper
45940	upāṃśutva	n		the being uttered in a low voice or whisper
45942	upāṃśupātra	n		the vessel or ladle for the Upāṃśu-graha
45943	upāṃśuyāja	m		a sacrifice offered silently or with muttered prayers
45944	upāṃśuvadha	m		a clandestine murder
45945	upāṃśuvrata	n		a vow made secretly or privately
45946	upāṃśusavana	adj		(used for) pressing out the Upāṃśugraha
45947				(a sacrifice) at which the offerings are made silently
45948	upāṃśvantaryāma	m		name of two particular ladles-full of Soma (offered with the breath held and inaudible)
45949	upāṃśvāyatana	adj		having a silent abode; kept inaudible (as the breath)
45950	upākaraṇa	n		the act of bringing near; fetching; setting about; preparation; beginning; commencing; commencement of reading the Veda (after the performance of preparatory rites); name of a particular Stotra or prayer at sacrifices; ein zum Herantreiben verwendeter Grashalm; Aufforderung
45951	upākaraṇavidhi	m		name of a work
45952	upākarman	n		preparation; setting about; commencement (esp. of reading the Veda)
45953	upākarmanvidhi	m		name of a work
45955	upākṛta	m		a sacrificial animal (killed during the recitation of particular prayers); disaster; calamity
45956	upākṛti	f		setting about; beginning
45957	upākṛtin	adj		one who prepares or begins
45958	upācikīrṣu	adj		one who is about to undertake or commence
45959	upākṣa	m		a particular part of a car (supporting the axletree)
45960	upākṣaka	m		a particular part of a car (supporting the axletree)
45961	upākṣam	ind		on or near the eye
45962	upākhya	adj		discernible; observable by the eye
45963	upākhyāna	n		account; relation; repetition of an event; a subordinate tale or story; an episode
45964	upākhyā	f		a secondary name; surname; epithet
45966	upākhyānaka	n		an episode
45968	upāgama	m		arrival; approach; occurrence; promise; agreement
45969	upāgni	ind		on the fire
45970	upāgnikā	f		a wife given away in presence of the sacred fire or with due observance of the fire-ritual; a properly married wife
45971	upāgra	n		the part which is next to the end or top; a secondary member
45972	upāgrya	n		a secondary member
45973	upāgrahaṇa	n		commencement of reading the Veda (after the performance of initiation etc)
45974	upāgrahāyaṇam	ind		near the day of full moon in the month Agrahāyaṇa
45975	upāgrahāyaṇi	ind		near the day of full moon in the month Agrahāyaṇa
45976	upāṅkya	adj		to be marked or stamped
45977	upāṅkyapṛṣṭha	m		name of an Ekāha sacrifice
45978	upāṅga	n		a minor limb or member of the body; a subdivision; a supplementary or additional work; secondary portion of a science; name of a class of sacred writings of the Jainas; a sectarial mark (made with sandal etc.) on the forehead; (in mus.) a particular drum-like instrument
45979	upāṅgagīta	n		a kind of song
45980	upāṅgalalitāvrata	n		a particular observance
45981	upācarita	m		(in Gr.) a particular Sandhi rule
45982	upācāra	m		proceeding; procedure; established use (of a word); a particular Sandhi
45983	upācīrṇa	adj		deceived
45984	upācyutam	ind		in the proximity of Acyuta or Kṛṣṇa
45985	upājinam	ind		on a skin
45986	upāka	adj		brought near to each other; joined; approximate; nachbarlich
45987	upākacakṣas	adj		standing present before the eyes; to be seen from near at hand
45988	upākta	adj		anointed; greased
45989	upāṅga	m		the act of smearing; anointing
45990	upāñjana	n		the act of anointing; smearing; besmearing (the ground with cow-dung etc. for purification)
45991	upātaṅkya	n		runnet for coagulating milk
45992	upātyaya	m		transgressing; neglect or disobedience of customs
45994	upātta	m		an elephant out of rut
45996	upāttavidya	adj		one who has acquired knowledge; learned
45998	upādāna	n		the act of taking for one's self; appropriating to one's self; perceiving; noticing; learning; acquiring (knowledge); accepting; allowing; including; employment; use; saying; speaking; mentioning; enumeration; abstraction; withdrawing (the organs of sense from the outer world); grasping at or clinging to existence; preparation (of perfumes, flowers etc.); cause; motive; material cause; material of any kind; offering; present
45999	upādānakāraṇa	n		a proximate cause
46000	upādānatā	f		the state of being a material cause
