id	word	wordnet21id	wordnetSupersenseId	wordnetSupersenseName
38582	fandom	the fans of a sport or famous person	08110	14	group
38583	parish	a local church community	08110	14	group
38584	community	a group of people living in a particular local area; "the team is drawn from all parts of the community"	08110	14	group
38585	community	a group of people having ethnic or cultural or religious characteristics in common; "the Christian community of the apostolic age"; "he was well known throughout the Catholic community"	08110	14	group
38586	community	a group of nations having common interests; "they hoped to join the NATO community"	08111	14	group
38588	house	the members of a religious community living together	08111	14	group
38589	speech community	people sharing a given language or dialect	08111	14	group
38590	neighborhood	people living near one another; "it is a friendly neighborhood"; "my neighborhood voted for Bush"	08111	14	group
38591	street	people living or working on the same street; "the whole street protested the absence of street lights"	08112	14	group
38592	municipality	people living in a town or city having local self-government	08112	14	group
38593	municipal government	the government of a municipality	08112	14	group
38594	commission plan	a municipal government that combines legislative and executive authority in the members of a commission	08112	14	group
38595	state government	the government of a US state	_	_	_
38596	city	people living in a large densely populated municipality; "the city voted for Republicans in 1994"	08112	14	group
38597	town	the people living in a municipality smaller than a city; "the whole town cheered the team"	08113	14	group
38598	village	a community of people smaller than a town	08113	14	group
38599	hamlet	a community of people smaller than a village	08113	14	group
38600	cooperative	an association formed and operated for the benefit of those using it	08113	14	group
38601	club	a formal association of people with similar interests; "he joined a golf club"; "they formed a small lunch society"; "men from the fraternal order will staff the soup kitchen today"	08113	14	group
38602	family	an association of people who share common beliefs or activities; "the message was addressed not just to employees but to every member of the company family"; "the church welcomed new members into its fellowship"	08114	14	group
38603	athenaeum	a literary or scientific association for the promotion of learning	08114	14	group
38604	chapter	a local branch of some fraternity or association; "he joined the Atlanta chapter"	08115	14	group
38605	chapter	an ecclesiastical assembly of the monks in a monastery or even of the canons of a church	08115	14	group
38606	American Legion	the largest organization of U.S. war veterans	_	_	_
38607	Veterans of Foreign Wars	an organization of U.S. war veterans	_	_	_
38608	bookclub	a club that people join in order to buy selected books at reduced prices	08115	14	group
38609	chess club	a club of people to play chess	08115	14	group
38610	country club	a suburban club for recreation and socializing	08115	14	group
38611	glee club	a club organized to sing together	08116	14	group
38612	golf club	a club of people to play golf	08116	14	group
38613	hunt	an association of huntsmen who hunt for sport	08116	14	group
38614	jockey club	a club to promote and regulate horse racing	08116	14	group
38615	racket club	club for players of racket sports	08116	14	group
38616	rowing club	a club for person who row	08116	14	group
38617	slate club	(British) a group of people who save money in a common fund for a specific purpose (usually distributed at Christmas)	_	_	_
38618	tennis club	a club of people to play tennis	08117	14	group
38619	turnverein	a club of tumblers or gymnasts	08117	14	group
38620	yacht club	club that promotes and supports yachting and boating	08117	14	group
38632	industrial union	a labor union that admits all workers in a given industry irrespective of their craft	08119	14	group
38633	craft union	a labor union whose membership is restricted to workers in a particular craft	08121	14	group
38634	credit union	a cooperative depository financial institution whose members can obtain loans from their combined savings	08121	14	group
38635	company union	a union of workers for a single company; a union not affiliated with with a larger union	_	_	_
38636	open shop	a company whose workers are hired without regard to their membership in a labor union	08121	14	group
38637	closed shop	a company that hires only union members	08121	14	group
38638	union shop	a company allowed to hire nonunion workers on the condition that they will join the union within a specified time	08121	14	group
38639	fraternity	a social club for male undergraduates	08115	14	group
38640	sorority	a social club for female undergraduates	08116	14	group
38641	secret society	a society that conceals its activities from nonmembers	08121	14	group
38642	Freemasonry	Freemasons collectively	08122	14	group
38643	service club	a club of professional or business people organized for their coordination and active in public services	08122	14	group
38644	Lions Club	club dedicated to promoting responsible citizenship and good government and community and national and international welfare	08122	14	group
38645	Rotary Club	a group of businessmen in a town organized as a service club and to promote world peace	08122	14	group
38646	consortium	an association of companies for some definite purpose	08122	14	group
38647	trust	a consortium of companies formed to limit competition; "they set up the trust in the hope of gaining a monopoly"	_	_	_
38648	cast	the actors in a play	08124	14	group
38649	ensemble	a cast other than the principles	08124	14	group
38650	constituency	the body of voters who elect a representative for their area	08124	14	group
38651	electoral college	the body of electors who formally elect the US president and vice-president	_	_	_
38652	class	a body of students who are taught together; "early morning classes are always sleepy"	08124	14	group
38653	class	a body of students who graduate together: "the class of '97"; "she was in my year at Hoehandle High"	_	_	_
38654	graduating class	the body of students who graduate together this year	08125	14	group
38655	biology class	students taking a course in biology together	08125	14	group
38656	chemistry class	students taking a course in chemistry together	08125	14	group
38657	English class	students taking a course in English together	08126	14	group
38658	first grade	students beginning elementary school	08126	14	group
38659	physics class	students taking a course in physics together	08126	14	group
38660	senior class	final grade or class in high school or college	08126	14	group
38661	junior class	penultimate class in high school or college	08126	14	group
38662	sophomore class	the second class in a four-year college or high school	08126	14	group
38663	freshman class	the first class in college or high school	08126	14	group
38665	set	an unofficial association of people or groups; "the smart set goes there"; "they were an angry lot"	08127	14	group
38666	clique	an exclusive circle of people with a common purpose	08127	14	group
38667	loop	an inner circle of advisors (especially under President Reagan); "he's no longer in the loop"	08128	14	group
38668	cabal	a clique that seeks power usually through intrigue	_	_	_
38669	cadre	a nucleus of military personnel capable of expansion	08129	14	group
38670	core	a small group of indispensable persons or things; "five periodicals make up the core of their publishing program"	08129	14	group
38671	professional association	an association of practitioners of a given profession	08129	14	group
38672	gang	an organized group of workmen	08129	14	group
38673	detail	a crew of workers selected for a particular task; "a detail was sent to remove the fallen trees"	08130	14	group
38674	chain gang	a gang of convicts chained together	08130	14	group
38675	ground crew	the crew of technicians and mechanics who service aircraft on the ground	08130	14	group
38676	road gang	a gang of road workers	08130	14	group
38677	section gang	a work crew assigned to a section of a railroad	08130	14	group
38678	stage crew	crew of workers who move scenery or handle properties in a theatrical production	08130	14	group
38680	gang	an association of criminals; "police tried to break up the gang"; "a pack of thieves"	08131	14	group
38681	nest	a gang of criminals assembled in one place; "a nest of thieves"	_	_	_
38682	youth gang	a gang whose members are teenagers	08131	14	group
38683	demimonde	a class of woman not considered respectable because of indiscreet or promiscuous behavior	08131	14	group
38684	underworld	the criminal class	08132	14	group
38685	organized crime	underworld organizations	08132	14	group
38686	mafia	(informal) any tightly knit group of trusted associates	_	_	_
38688	Mafia	a crime syndicate in the United States; organized in families; believed to have important relations to the Sicilian Mafia	08132	14	group
38692	yeomanry	class of small freeholders who cultivated their own land	08133	14	group
38693	musical organization	an organization of musicians who perform together	08133	14	group
38694	duet	two performers or singers who perform together	08134	14	group
38695	trio	three performers or singers who perform together	08134	14	group
38696	quartet	four performers or singers who perform together	08134	14	group
38697	string quartet	an instrumental quartet with 2 violins and a viola and a cello	08134	14	group
38698	quintet	five performers or singers who perform together	08134	14	group
38699	sextet	six performers or singers who perform together	08134	14	group
38700	septet	seven performers or singers who perform together	08134	14	group
38701	octet	eight performers or singers who perform together	08135	14	group
38702	orchestra	instrumentalists including string players	_	_	_
38703	chamber orchestra	small orchestra; usually plays classical music	08135	14	group
38704	string orchestra	an orchestra playing only string instruments	08135	14	group
38705	symphony orchestra	a large orchestra; can perform symphonies; "we heard the Vienna symphony"	08135	14	group
38706	band	instrumentalists not including string players	08136	14	group
38707	brass band	a group of musicians playing only brass and percussion instruments	08136	14	group
38708	concert band	a group of musicians playing brass and woodwind and percussion instruments	08136	14	group
38709	jug band	a musical group that uses jugs and washboards and kazoos and other improvised instruments	08136	14	group
38710	dance band	a group of musicians playing popular music for dancing	08136	14	group
38711	big band	a large dance or jazz band usually featuring improvised solos by lead musicians	08137	14	group
38712	jazz band	a small band of jazz musicians	08137	14	group
38713	mariachi	a group of street musicians in Mexico	08137	14	group
38714	rock group	a band of musicians who play rock-'n'-roll music	_	_	_
38715	skiffle group	(British) a band of musicians who play skiffle	_	_	_
38716	steel band	a band that plays instruments made from the heads of oil drums (Caribbean Islands)	08137	14	group
38717	horde	a nomadic community	08137	14	group
38718	Golden Horde	a Mongolian army that swept over eastern Europe in the 13th century	08137	14	group
38719	cohort	a band of warriors (originally a unit of a Roman Legion)	08137	14	group
38720	cohort	a company of companions or supporters	08138	14	group
38721	conspiracy	a group of conspirators banded together to achieve some harmful or illegal purpose	08138	14	group
38722	Four Hundred	the exclusive social set of a city	08138	14	group
38723	horsy set	a set of people sharing a devotion to horses and horseback riding and horse racing	08138	14	group
38725	faction	a dissenting clique	08138	14	group
38726	splinter group	a faction or sect that has broken away from its parent organization	08138	14	group
38727	social gathering	a gathering for the purpose of promoting fellowship	08139	14	group
38728	function	a formal or official social gathering or ceremony; "it was a black-tie function"	08139	14	group
38729	party	a group of people gathered together for pleasure; "she joined the party after dinner"	08139	14	group
38730	shindig	a large and noisy party of people	08139	14	group
38731	dance	a party of people assembled for dancing	08140	14	group
38732	prom	a formal dance held for a school class toward the end of the academic year	_	_	_
38733	hop	an informal dance where popular music is played	07347	11	event
38734	ball	a lavish formal dance; "she was the loveliest girl at the ball"	_	_	_
38735	cotillion	a ball at which young ladies are presented to society	07347	11	event
38736	masked ball	a ball at which guests wear costumes and masks	07347	11	event
38737	masquerade	a party of guests wearing costumes and masks	08140	14	group
38738	banquet	a ceremonial dinner party for many people	08140	14	group
38739	dinner	a party of people assembled to have dinner together; "guests should never be late to a dinner party"	08140	14	group
38740	gaudy	(British) a celebratory feast held annually at one of the colleges in a British university	_	_	_
38741	beanfeast	(British) an annual dinner party given by an employer for the employees	_	_	_
38742	reception	a formal party of people; as after a wedding	08141	14	group
38743	at home	a reception held in your own home	08141	14	group
38744	tea	a reception or party at which tea is served; "we met at the Dean's tea for newcomers"	08141	14	group
38745	wedding reception	a reception wedding guests held after the wedding	_	_	_
38746	open house	an informal party of people with hospitality for all comers	08141	14	group
38747	housewarming	a party of people assembled to celebrate moving into a new home	08142	14	group
38748	soiree	a party of people assembled in the evening (usually at a private house)	08142	14	group
38749	musical soiree	a soiree assembled for the purpose of listening to music	08142	14	group
38750	garden party	a party of people assembled for social interaction out of doors	08142	14	group
38751	bachelor party	stag party held for a bachelor (usually on the night before he is married)	08142	14	group
38752	shower	a party of friends assembled to present gifts (usually of a specified kind) to a person; "her friends organized a baby shower for her when she was expecting"	08142	14	group
38753	stag party	a party for men only (or one considered suitable for men only)	08142	14	group
38754	hen party	a party for women only	08143	14	group
38755	slumber party	an overnight party of girls who dress in nightclothes and and pass the night talking	_	_	_
38756	sociable	a party of people assembled to promote sociability and communal activity	08143	14	group
38757	supper	a social gathering where a light evening meal is served; "her suppers often included celebrities"	08143	14	group
38758	wedding	a party of people at a wedding	08143	14	group
38759	whist drive	(British) a party of people assembled to play progressive whist	_	_	_
38760	party	an organization to gain political power; "in 1992 Perot tried to organize a third party at the national level"	08143	14	group
38789	machine	a group that controls the activities of a political party; "he was endorsed by the Democratic machine"	08150	14	group
38790	machine	an intricate organization that accomplishes its goals efficiently; "the war machine"	08151	14	group
38791	party	a band of people associated temporarily in some activity; "they organized a party to search for food"; "the company of cooks walked into the kitchen"	08151	14	group
38792	fatigue party	a group of soldiers on fatigue duty	08151	14	group
38793	landing party	a part of a ship's company organized for special duties ashore	08151	14	group
38794	party to the action	a party of people taking a role in legal proceedings	08151	14	group
38795	rescue party	a party of rescuers	08152	14	group
38796	search party	a party of people to search for someone	08152	14	group
38797	stretcher party	a party of people with stretchers to carry an injured person	08152	14	group
38798	table	a set of data arranged in rows and columns; "see table 1"	08152	14	group
38800	mortality table	an actuarial table indicating life expectancy and probability of death as a function or age and sex and occupation etc	08153	14	group
38801	calendar	a tabular array of the days (usually for one year)	08153	14	group
38803	matrix	a rectangular array of elements set out by rows and columns	_	_	_
38804	square matrix	a matrix with the same number of rows and columns	08154	14	group
38810	magic square	a square matrix of n rows and columns; the first n-squared integers are arranged in the cells of the matrix is such a way that the sum of any row or column or diagonal is the same	_	_	_
38815	galaxy	a splendid assemblage (especially of famous people)	08157	14	group
38816	galaxy	(astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust; "`extragalactic nebula' is a former name for `galaxy'"	08157	14	group
38817	spiral galaxy	a galaxy having a spiral structure; arms containing younger stars spiral out from old stars at the center	08157	14	group
38818	universe	the whole collection of existing things	_	_	_
38819	legion	a large military unit; "the French Foreign Legion"	08158	14	group
38820	legion	association of ex-servicemen; "the American Legion"	08158	14	group
38821	echelon	a body of troops arranged in a line	08158	14	group
38822	phalanx	a body of troops in close array	08158	14	group
38823	phalanx	any closely ranked crowd of people	08158	14	group
38824	score	a set of twenty members; "four score and seven years ago"	_	_	_
38825	threescore	a set with 3 times 20 members	08159	14	group
38826	combination	a group of people (often temporary) having a common purpose; "they were a winning combination"	08159	14	group
38827	crew	the men who man a ship or aircraft	08159	14	group
38828	aircrew	the crew of an aircraft	08159	14	group
38829	bomber crew	the crew of a bomber	08159	14	group
38830	merchant marine	the crew of a merchant vessel	08159	14	group
38831	crew	the team of men manning a racing shell	08159	14	group
38832	crowd	an informal body of friends; "he still hangs out with the same crowd"	08160	14	group
38833	shock troops	soldiers who are specially trained and armed to lead an assault	08160	14	group
38834	troop	a group of soldiers	08160	14	group
38835	troop	a cavalry unit corresponding to an infantry company	08160	14	group
38836	troop	an orderly crowd; "a troop of children"	08160	14	group
38837	troop	a unit of girl or boy scouts	08160	14	group
38838	outfit	any cohesive unit such as a military company	08161	14	group
38839	academia	the academic world	08161	14	group
38840	Grub Street	the world of literary hacks	08161	14	group
38841	school	a body of creative artists or writers or thinkers linked by a similar style or by similar teachers; "the Venetian school of painting"	08161	14	group
38842	historical school	a school of 19th C German economists and legal philosophers who tried to explain modern economic systems in evolutionary or historical terms	_	_	_
38843	educational institution	an institution dedicated to education	08162	14	group
38844	preschool	an educational institution for children too young for elementary school	08162	14	group
38845	school	an educational institution; "the school was founded in 1900"	08162	14	group
38846	school	an educational institution's faculty and students; "the school keeps parents informed"; "the whole school turned out for the game"	08163	14	group
38847	junior school	British school for children aged 7-11	08163	14	group
38848	infant school	British school for children aged 5-7	08163	14	group
38849	academy	a school for special training	08164	14	group
38850	college	the body of faculty and students of a college	08164	14	group
38851	college	an institution of higher education created to educate and grant degrees; often a part of a university	08164	14	group
38852	correspondence school	a school that teaches nonresident students by mail	08164	14	group
38853	crammer	a special school where students are crammed	08164	14	group
38854	dancing school	a school in which students learn to dance	08165	14	group
38855	driving school	a school where people are taught to drive automobiles	08165	14	group
38856	academy	a secondary school (usually private)	08165	14	group
38857	police academy	an academy for training police officers	08165	14	group
38858	military academy	an academy for training military officers	08165	14	group
38859	naval academy	an academy for training naval officers	08165	14	group
38860	air force academy	an academy for train air force officers	_	_	_
38861	Plato's Academy	a school established by Plato in ancient Athens; "Plato's Academy continued for several hundred years after Plato died"	08166	14	group
38862	academy	an institution for the advancement of art or science or literature	08166	14	group
38864	business college	a school for teaching the clerical aspects of business and commerce	08167	14	group
38865	business school	a graduate school offering study leading to a Masters of Business Administration	_	_	_
38866	dental school	a graduate school offering study leading to degrees in dentistry	08168	14	group
38867	flying school	a school for teaching students to fly airplanes	08168	14	group
38868	junior college	a college that offers only the first two years terminating in an associate degree	08168	14	group
38869	community college	a nonresidential junior college offering a curriculum fitted to the needs of the community	08168	14	group
38870	graduate school	a school in a university offering study leading to degrees beyond the bachelor's degree	08168	14	group
38871	language school	a school for teaching foreign languages	08169	14	group
38872	law school	a graduate school offering study leading to a law degree	08169	14	group
38873	medical school	a graduate school offering study leading to a medical degree	08169	14	group
38874	music school	a school for the study of music	08169	14	group
38875	nursing school	a school for training nurses	08169	14	group
38876	church school	a private school run by a religious body	_	_	_
38877	riding school	a school where horsemanship is taught and practiced	08170	14	group
38878	secondary school	a school for students intermediate between elementary school and college; usually grades 9 to 12	08170	14	group
38879	secretarial school	a school where secretarial skills (typing and shorthand and filing etc) are taught	08171	14	group
38880	seminary	a private place of education for the young	08171	14	group
38881	seminary	a theological school for training ministers or priests or rabbis	08171	14	group
38882	technical school	a school teaching mechanical and industrial arts and the applied sciences	08171	14	group
38883	polytechnic institute	a technical school offering instruction in many industrial arts and applied sciences	08171	14	group
38884	trade school	a secondary school teaching the skilled trades	08171	14	group
38885	training college	(Brit) a school providing training for a special field or profession	_	_	_
38886	training school	a school providing practical vocational and technical training	08172	14	group
38887	university	the body of faculty and students of a university	_	_	_
38888	university	a large and diverse institution of higher education created to educate for life and for a profession and to grant degrees	_	_	_
38889	varsity	a British abbreviation; usually Oxford and Cambridge Universities	_	_	_
38890	veterinary school	a school teaching veterinary medicine	08173	14	group
38891	conservatory	the faculty and students of a school specializing in one of the fine arts	08173	14	group
38892	staff	the body of teachers and administrators at a school; "the dean addressed the letter to the entire staff of the university"	08173	14	group
38893	culture	a particular civilization at a particular stage	_	_	_
38894	tribalism	the culture and organization of a tribe	_	_	_
38895	subculture	a social group within a national culture that has distinctive patterns of behavior and beliefs	08174	14	group
38898	Aegean civilization	the prehistoric civilization on the islands in the Aegean sea and the surrounding countries; "by 800 BC the entire Aegean had adopted this style of pottery"	08176	14	group
38899	Minoan civilization	the bronze-age culture of Crete 3000-1100 BC	_	_	_
38900	Cycladic civilization	the pre-Mycenaean civilization on the Cyclades islands in the S Aegean sea	_	_	_
38901	Mycenaean civilization	the bronze-age culture of Mycenae 1400-1100 BC	_	_	_
38902	Helladic civilization	the bronze-age culture of mainland Greece 2500-1100 BC	_	_	_
38904	fleet	a group of warships organized as a tactical unit	08178	14	group
38905	armada	a large fleet	08179	14	group
38906	fleet	a group of steamships operating together under the same ownership	08179	14	group
38907	fleet	group of motor vehicles operating together under the same ownership	08179	14	group
38908	motor pool	a fleet of military vehicles controlled by a single agency and available for use as needed	08179	14	group
38909	fleet	group of aircraft operating together under the same ownership	08180	14	group
38910	alliance	an organization of people (or countries) involved in a pact or treaty	08180	14	group
38911	nonalignment	people (or countries) who are not aligned with other people (or countries) in a pact or treaty	08180	14	group
38912	popular front	a leftist coalition organized against a common opponent	08180	14	group
38913	world organization	an international alliance involving many different countries	08180	14	group
38916	General Assembly	the supreme deliberative assembly of the United Nations	08182	14	group
38917	United Nations Secretariat	the administrative arm of the United Nations	08182	14	group
38918	Security Council	a permanent council of the United Nations; responsible for preserving world peace	08182	14	group
38919	Trusteeship Council	a permanent council of the United Nations that commissions a country (or countries) to undertake the administration of a territory	08182	14	group
38920	Economic and Social Council	a permanent council of the United Nations; responsible for economic and social conditions	08182	14	group
38921	Economic and Social Council commission	a commission of the Economic and Social Council of the United Nations	08182	14	group
38922	Commission on Human Rights	the commission of the Economic and Social Council of the United Nations that is concerned with human rights	08183	14	group
38923	Commission on Narcotic Drugs	the commission of the Economic and Social Council of the United Nations that is concerned with drug traffic	08183	14	group
38924	Commission on the Status of Women	the commission of the Economic and Social Council of the United Nations that is concerned with the status of women in different societies	08183	14	group
38925	Economic Commission for Africa	the commission of the Economic and Social Council of the United Nations that is concerned with economic development of African nations	08183	14	group
38926	Economic Commission for Asia and the Far East	the commission of the Economic and Social Council of the United Nations that is concerned with economic development of countries in Asia and the Far East	08184	14	group
38927	Economic Commission for Europe	the commission of the Economic and Social Council of the United Nations that is concerned with economic development in Europe	08184	14	group
38928	Economic Commission for Latin America	the commission of the Economic and Social Council of the United Nations that is concerned with economic development in Latin America	08184	14	group
38929	Population Commission	the commission of the Economic and Social Council of the United Nations that is concerned with population control	08184	14	group
38930	Social Development Commission	the commission of the Economic and Social Council of the United Nations that is concerned with social development	08184	14	group
38931	Statistical Commission	the commission of the Economic and Social Council of the United Nations that is concerned with statistical data from member nations	08185	14	group
38932	International Court of Justice	a court established to settle disputes between members of the United Nations	08185	14	group
38933	United Nations agency	an agency of the United Nations	08185	14	group
38934	United Nations Children's Fund	an agency of the United Nations responsible for programs to aid education and the health of children and mothers in developing countries	08185	14	group
38935	Food and Agriculture Organization	the United Nations agency concerned with the international organization of food and agriculture	08186	14	group
38936	General Agreement on Tariffs and Trade	a United Nations agency created by a multinational treaty to promote trade by the reduction of tariffs and import quotas	08186	14	group
38937	International Atomic Energy Agency	the United Nations agency concerned with atomic energy	08186	14	group
38938	International Bank for Reconstruction and Development	a United Nations agency created to assist developing nations by loans guaranteed by member governments	08186	14	group
38939	International Civil Aviation Organization	the United Nations agency concerned with civil aviation	08187	14	group
38940	International Development Association	an agency of the United Nations affiliated with the World Bank	08187	14	group
38941	International Finance Corporation	a United Nations agency that invest directly in companies and guarantees loans to private investors; affiliated with the World Bank	_	_	_
38942	International Labor Organization	the United Nations agency concerned with the interests of labor	08187	14	group
38943	International Maritime Organization	the United Nations agency concerned with international maritime activities	08187	14	group
38944	International Monetary Fund	a United Nations agency to promote trade by increasing the exchange stability of the major currencies	08187	14	group
38945	United Nations Educational Scientific and Cultural Organization	an agency of the United Nations that promotes education and communication and the arts	08188	14	group
38946	World Health Organization	a United Nations agency to coordinate international health activities and to help governments improve health services	08188	14	group
38947	World Meteorological Organization	the United Nations agency concerned with the international collection of meteorological data	08188	14	group
38948	sterling area	the group of countries whose currencies are tied to the British pound sterling	08189	14	group
38949	confederation	a union of political organizations	08189	14	group
38950	federation	an organization formed by merging several groups or parties	08189	14	group
38952	nation	a federation of tribes (especially native American tribes); "the Shawnee nation"	08189	14	group
38953	Creek Confederacy	a North American Indian Confederacy organized by the Muskogee that dominated the SE US before being removed to Oklahoma	_	_	_
38954	union	a political unit formed from previously independent people or organizations; "the Soviet Union"	08190	14	group
38955	league	an association of states or organizations or individuals for common action	08191	14	group
38956	customs union	an association of nations to promote free trade within the union and set common tariffs for for nations that are not members	_	_	_
38957	Benelux	a customs union comprising BElgium and NEtherlands and LUXembourg	08191	14	group
38958	ally	a friendly nation	08192	14	group
38959	caste	a social class separated from others by distinctions of hereditary rank or profession or wealth	08192	14	group
38960	caste	(Hindu) a hereditary social class stratified according to ritual purity	_	_	_
38961	Brahmin	the highest of the four main Hindu castes: the priestly caste	_	_	_
38962	Kshatriya	the second highest of the four main Hindu castes: the royal or warrior caste	_	_	_
38963	Vaisya	the third of the four main Hindu castes: the mercantile and professional caste	_	_	_
38964	Shudra	the lowest of the four main Hindu castes: the worker caste	_	_	_
38965	meeting	a formally arranged gathering; "next year the meeting will be in Chicago"	_	_	_
38966	conference	a prearranged meeting for consultation or or exchange of information or discussion (especially one with a formal agenda)	_	_	_
38967	encounter group	a meeting of people to develop mutual understanding by openly expressing their feelings	_	_	_
38968	board meeting	a meeting for administrative purposes	08194	14	group
38969	stockholders meeting	a meeting at which the management reports to the stockholders of a company	08196	14	group
38970	covey	a small collection of people	08196	14	group
38971	meeting	a small informal social gathering; "there was an informal meeting in my livingroom"	_	_	_
38972	council	a meeting of people for consultation; "emergency council"	08195	14	group
38973	council	a body serving in an administrative capacity; "student council"	08196	14	group
38974	city council	a municipal body that can pass ordnances and appropriate funds etc.	08197	14	group
38975	executive council	a council that shares the supreme executive power	08197	14	group
38976	privy council	an advisory council to a ruler (especially to the British crown)	08197	14	group
38977	divan	a Muslim council of state	08197	14	group
38978	works council	(chiefly Brit) a council representing employer and employees of a plant or business to discuss working conditions etc; also: a committee representing the workers elected to negotiate with management about grievances and wages etc	08197	14	group
38979	town meeting	government of a town by an assembly of the qualified voters	08198	14	group
38980	town meeting	a meeting of the inhabitants of a town	08198	14	group
38981	congress	a meeting of elected or appointed representatives	08194	14	group
38982	congress	a national legislative assembly	08204	14	group
38983	diet	a legislative assembly in certain countries (e.g., Japan)	08204	14	group
38984	chamber	a deliberative or legislative or administrative or judicial assembly; "the upper chamber is the senate"	08204	14	group
38985	chamber of commerce	an association of businessmen to protect and promote business interests	08205	14	group
38986	parliament	a legislative assembly in certain countries (e.g., Great Britain)	_	_	_
38987	Dail Eireann	the lower house of the parliament of the Republic of Ireland	_	_	_
38988	Knesset	the Israeli unicameral parliament	08205	14	group
38989	Oireachtas	the parliament of the Republic of Ireland	_	_	_
38990	Seanad Eireann	the upper house of the parliament of the Republic of Ireland	_	_	_
38991	soviet	an elected governmental council in a Communist country	_	_	_
38993	syndicalism	a radical political movement that advocates bringing industry and government under the control of labor unions	08207	14	group
38994	synod	a council convened to discuss ecclesiastical business	08208	14	group
38995	world council	a council with representatives from different nations	08208	14	group
38996	board	a committee having supervisory powers; "the board has seven members"	08208	14	group
38997	appeal board	a board of officials that are not judicial but are appointed to hear appeals	08209	14	group
38998	board of selectmen	a board of officials elected to administer the public business of a New England town	08209	14	group
38999	board of regents	a committee of university officers who have general supervision over the welfare and conduct of students	08209	14	group
39000	board of trustees	a governing board elected or appointed to direct the policies of an educational institution	08209	14	group
39001	Federal Reserve Board	the 7-member board governing the Federal Reserve System	_	_	_
39002	governing board	a board that manages the affairs of an institution	08209	14	group
39003	secretariat	an administrative unit responsible for maintaining records and other secretarial duties; especially for international organizations	08210	14	group
39004	committee	a special group delegated to consider some matter	_	_	_
39005	election commission	a commission delegated to supervise an election	08211	14	group
39006	fairness commission	a commission delegated to ensure opportunities for the expression of opposing views	08211	14	group
39007	planning commission	a commission delegated to propose plans for future activities and developments	08211	14	group
39008	zoning commission	a commission delegated to supervise the zoning of areas for residential or commercial use	08299	14	group
39009	conservancy	(British) a commission with jurisdiction over fisheries and navigation in a port or river	_	_	_
39010	committee	a self-constituted organization to promote something	08211	14	group
39011	subcommittee	a subset of committee members organized for a specific purpose	08211	14	group
39012	vigilance committee	a volunteer committee to maintain order where an efficient legal system does not exist	08211	14	group
39013	welcoming committee	a committee to welcome new residents to a community	08212	14	group
39014	standing committee	a permanent committee	08212	14	group
39015	Ways and Means Committee	a permanent committee of the US House of Representatives that makes recommendations to the House on all bills that would raise revenue	_	_	_
39016	steering committee	a committee to arrange the order of business for some larger (legislative) body	08212	14	group
39017	ethics committee	a committee appointed to consider ethical issues	08212	14	group
39018	finance committee	a committee appointed to consider financial issues	08212	14	group
39019	politburo	the chief executive and political committee of the Communist Party	08212	14	group
39020	political action committee	committee formed by a special-interest group to raise money for their favorite political candidates	08213	14	group
39021	presidium	a permanent executive committee in socialist countries that has all the powers of some larger legislative body and that acts for it when it is not in session	08213	14	group
39022	forum	a public meeting or assembly for open discussion	08195	14	group
39023	symposium	a meeting or conference for the public discussion of some topic especially one in which the participants form an audience and make presentations	08213	14	group
39024	seminar	any meeting for an exchange of ideas	08213	14	group
39025	colloquium	an academic meeting or seminar usually led by a different lecturer and on a different topic at each meeting	08213	14	group
39026	research colloquium	a colloquium at which the results of (scientific) research are reported	08213	14	group
39027	conclave	a confidential or secret meeting	08194	14	group
39028	Bench	the magistrate or judge or judges sitting in court in judicial capacity to compose the court collectively	08214	14	group
39029	border patrol	a group of officers who patrol the borders of a country	08214	14	group
39030	patrol	a group that goes through a region at regular intervals for the purpose of security	08214	14	group
39031	court	the family and retinue of a sovereign or prince	08214	14	group
39032	court	an assembly (including one or more judges) to conduct judicial business	08214	14	group
39033	appellate court	a court authorized to hear appeals	_	_	_
39034	circuit court of appeals	one of the twelve federal U.S. courts of appeals that cover a group of states known as a `circuit'	_	_	_
39035	circuit	(law) one of the twelve groups of states in the U.S. that is covered by a particular circuit court of appeals	_	_	_
39036	assizes	the county courts of England (replaced in 1971 by crown courts)	08216	14	group
39037	chancery	a court with jurisdiction in equity	08216	14	group
39038	consistory	a church tribunal or governing body	08216	14	group
39039	criminal court	a court having jurisdiction over criminal cases	08216	14	group
39040	court-martial	a military court to try serious breaches of martial law	_	_	_
39041	drumhead court-martial	a military court convened to hear urgent charges of offences committed in action	08216	14	group
39042	special court-martial	a court-martial to try soldiers for offences less serious that than those comitted in action; consists of at least three officers	_	_	_
39043	divorce court	a court having jurisdiction over the termination of marriage contracts	08217	14	group
39044	federal court	a court establish by the authority of a federal government	08217	14	group
39045	inferior court	any court whose decisions can be appealed to a higher court	08218	14	group
39046	juvenile court	a court having jurisdiction over dependent and delinquent children	08219	14	group
39047	kangaroo court	an irregular unauthorized court	08219	14	group
39048	military court	a court of commissioned officers for the discipline and punishment of military personnel	_	_	_
39049	moot court	a mock court where law students argue hypothetical cases	08219	14	group
39050	night court	a criminal court (in large cities) that sits at night	08219	14	group
39051	provost court	a military court for trying people charged with minor offenses in an occupied area	08220	14	group
