id	word	wordnet21id	wordnetSupersenseId	wordnetSupersenseName
665	abscondment	the act of running away secretly (as to avoid arrest)	00053	04	act
666	absence without leave	unauthorized military absence	00053	04	act
667	deviationism	ideological defection from the party line (especially from orthodox communism)	00054	04	act
668	emigration	migration into a place	_	_	_
669	immigration	migration out of a place	_	_	_
670	retreat	(military) withdrawal to a more favorable position	_	_	_
671	standdown	(military) withdrawal of a military presence	_	_	_
672	disengagement	to break off a military action with an enemy	00055	04	act
673	receding	a act of becoming more distant	_	_	_
674	sailing	the departure of a vessel from a port	00055	04	act
675	debarkation	the act of passengers and crew getting off of a ship or aircraft	00056	04	act
676	going ashore	debarkation from a boat or ship	00056	04	act
677	boarding	the act of passengers and crew getting aboard a ship or aircraft	00056	04	act
678	exit	the act of going out	00056	04	act
679	elopement	the act of running away with a lover (usually to get married)	00056	04	act
680	escape	the act of escaping physically; "he made his escape from the mental hospital"; "the canary escaped from its cage"; "his flight was an indication of his guilt"	00056	04	act
681	running away	leaving (without permission) the place you are expected to be	00044	04	act
682	evasion	the act of physically escaping from something (an opponent or a pursuer or an unpleasant situation) by some adroit maneuver	00057	04	act
683	slip	the act of avoiding capture (especially by cunning)	00057	04	act
684	maneuver	an action aimed at evading an enemy	_	_	_
685	clinch	(in boxing) the act of one boxer holding onto the other to avoid being hit and to rest momentarily	_	_	_
686	dodge	a quick evasive movement	00058	04	act
687	break	an escape from jail; "the breakout was carefully planned"	00058	04	act
688	getaway	a rapid escape (as by criminals); "the thieves made a clean getaway"; "after the expose he had to take it on the lam"	00058	04	act
689	exodus	a journey by a large group to escape from a hostile environment	00058	04	act
690	Underground Railroad	abolitionists secret aid to escaping slaves; pre-Civil War in US	_	_	_
691	close call	something achieved (or escaped) by a narrow margin	00059	04	act
692	egress	the act of coming (or going) out; becoming apparent	00042	04	act
693	surfacing	emerging to the surface and becoming apparent	00059	04	act
694	dispatch	the act of sending off something	00059	04	act
695	reshipment	the act of shipping again (especially by transferring to another ship)	00059	04	act
696	completion	the act of becoming or making complete: "her work is still far from completion"	_	_	_
697	consummation	the act of bringing to completion or fruition	00059	04	act
698	realization	something that is realized; "the victory was the realization of a whole year's work"	_	_	_
699	orgasm	the moment of most intense pleasure in sexual intercourse	00060	04	act
700	male orgasm	an orgasm accompanied by the ejaculation of semen	_	_	_
701	fulfillment	the act of consummating something (a desire or promise etc)	00060	04	act
702	self-fulfillment	the fulfillment of your capacities	00060	04	act
703	attainment	the act of achieving an aim; "the attainment of independence"	00060	04	act
704	record	the best performance ever attained in a sport; "he broke the Olympic record"	_	_	_
705	world record	the best record in the whole world	00061	04	act
706	success	an attainment that is successful; "his success in the marathon was unexpected"; "his new play was a great success"	00061	04	act
707	winning	succeeding with great difficulty; "just winning the shore exhausted him"	_	_	_
708	hit	a conspicuous success; "that song was his first hit and marked the beginning of his career"	_	_	_
709	bell ringer	something that exactly succeeds in achieving its goal; "the new advertising campaign was a bell ringer"; "scored a bull's_eye"; "hit the mark"	_	_	_
710	ennoblement	the act of raising someone to the nobility	00063	04	act
711	conquest	success in mastering something difficult; "the conquest of space"	00063	04	act
712	coup	a brilliant and notable success	00063	04	act
713	passing	success in satisfying a test or requirement; "his future depended on his passing that test"; "he got a pass in introductory chemistry"	00063	04	act
714	credit	educational recognition that a course of studies has been successfully completed	_	_	_
715	semester hour	a unit of academic credit; one hour a week for an academic semester	00064	04	act
716	nonaccomplishment	an act that does not achieve its intended goal	00064	04	act
717	failure	an unexpected omission; "he resented my failure to return his call"	_	_	_
718	failure	an act that fails	_	_	_
719	failing	failure to reach a minimum required performance; "his failing the course led to his disqualification"	_	_	_
720	naught	complete failure; "all my efforts led to naught"	00065	04	act
721	cut	an unexcused absence from class; "he was punished for taking too many cuts in his math class"	00065	04	act
722	default	loss due to not showing up; "he lost the game by default"	00065	04	act
723	shot	an informal word for any attempt or effort; "he gave it his best shot"	_	_	_
724	shot	an attempt to score in a game	00777	04	act
725	loss	the act of losing; "everyone expected him to win so his loss was a shock"	00065	04	act
726	capitulation	the act of surrendering (under agreed conditions); "they were protected until the capitulation of the fort"	00065	04	act
727	frustrating	an act of hindering someone's plans or efforts	_	_	_
728	overturn	an improbable and unexpected victory; "the biggest upset since David beat Goliath"	00066	04	act
729	backsliding	a failure to maintain a higher state	00066	04	act
730	disappointing	the act of disappointing someone	_	_	_
731	breach	a failure to perform some promised act or obligation	00066	04	act
732	copout	a failure to face some difficulty squarely	00067	04	act
733	breach of contract	a breach of a legal duty	_	_	_
734	anticipatory breach	a breach of contract committed prior to the time of required performance	00067	04	act
735	breach of duty	a breach of due care	00067	04	act
736	breach of the covenant of warranty	a failure of the seller's guarantee of good title	00067	04	act
737	breach of promise	failure to keep a promise (of marriage)	00067	04	act
738	breach of trust	violation (either through fraud or negligence) by a trustee of a duty that equity requires of him	00067	04	act
739	breach of trust with fraudulent intent	larceny after trust rather than after unlawful taking	00068	04	act
740	breach of warranty	a breach that occurs when an item is deficient according to the terms of a warranty	00068	04	act
741	leaning	the act deviating from a vertical position	_	_	_
742	material breach	a breach serious enough to destroy the value of the contract and to give a basis for an action for breach of contract	00068	04	act
743	partial breach	a breach that does not destroy the value of the contract but can give rise to a claim for damages	00068	04	act
744	mistake	a wrong action attributable to bad judgment or ignorance or inattention; "the fault was all mine"	_	_	_
745	footfault	a mistake that occurs when the server in tennis fails to keep both feet behind the baseline	_	_	_
746	error	(baseball) a failure of a defensive player to make an out when normal play would have sufficed	00070	04	act
747	blot	an act that brings discredit to the person who does it; "he made a huge blot on his copybook"	00070	04	act
748	confusion	a mistake that results from taking one thing to be another; "he changed his name in order to avoid confusion with the notorious outlaw"	00070	04	act
749	miscalculation	a mistake in calculating	00070	04	act
750	backfire	a miscalculation that recoils on its maker	00071	04	act
751	distortion	the mistake of misrepresenting the facts	00071	04	act
752	slip	an inadvertent mistake	_	_	_
753	oversight	a mistake resulting from inattention	00072	04	act
754	omission	a mistake resulting from neglect	00072	04	act
755	blunder	an embarrassing mistake	_	_	_
756	snafu	an acronym often used by soldiers in World War II: Situation Normal All Fucked Up	00073	04	act
757	spectacle	a blunder that makes you look ridiculous; used in the phrase "make a spectacle of" yourself	_	_	_
758	ballup	(British) something badly botched or muddled	_	_	_
759	bull	a serious and ludicrous blunder; "he made a bad bull of the assignment"	00073	04	act
760	fumble	dropping the ball (in baseball or football)	_	_	_
761	fluff	a blunder (especially an actor's forgetting the lines)	00074	04	act
762	faux pas	a socially awkward or tactless act	00074	04	act
763	clanger	(British) a conspicuous mistake whose effects seem to reverberate; "he dropped a clanger"	_	_	_
764	trip	an unintentional but embarrassing blunder; "he recited the whole poem without a single trip"; "confusion caused his unfortunate misstep"	_	_	_
765	spill	a sudden drop from an upright position; "he had a nasty spill on the ice"	00074	04	act
766	acquisition	the act of contracting or assuming or acquiring possession of something; "the acquisition of wealth"; "the acquisition of one company by another"	00075	04	act
767	acquiring	the act of acquiring something; "I envied his talent for acquiring new friends"; "did you hear about his getting a car?"	_	_	_
768	obtainment	the act of obtaining	00075	04	act
769	catching	becomeing infected; "catching cold is sometimes unavoidable"; "the contracting of a serious illness can be financially catastrophic"	_	_	_
770	incurring	acquiring or coming into something (usually undesirable): "incurring debts is easier than paying them"	_	_	_
771	moneymaking	the act of making money (and accumulating wealth)	00076	04	act
772	accession	something added to what you have already; "the librarian shelved the new accessions"; "he was a new addition to the staff"	_	_	_
773	pork-barreling	acquisition of government money for benefits to a specific locale: "keeps his hold on his constituents through unashamed pork-barreling"	_	_	_
774	purchase	the acquisition of something for payment; "they closed the purchase with a handshake"	00076	04	act
775	redemption	purchasing back something previously sold	_	_	_
776	trading	buying or selling securities or commodities	00077	04	act
777	bond trading	trading in bonds (usually by a broker on the floor of an exchange)	00077	04	act
778	program trading	a trading technique involving large blocks of stock with trades triggered by computer programs	00077	04	act
779	short sale	sale of securities or commodity futures not owned by the seller (who hopes to buy them back later at a lower price)	00077	04	act
780	short covering	the purchase of securities or commodities by a short seller to close out a short sale	00077	04	act
781	insider trading	buying or selling corporate stock by a corporate officer or other insider	_	_	_
782	naked option	a put or call option for which the seller or buyer has no underlying security position	00078	04	act
783	covered option	a put or call option backed by the shares underlying the option	00078	04	act
784	call option	the option to buy a given stock (or stock index or commodity future) at a given price before a given date	00078	04	act
785	put option	the option to sell a given stock (or stock index or commodity future) at a given price before a given date	00078	04	act
786	straddle	the option to but or sell a given stock (or stock index or commodity future) at a given price before a given date; consists of an equal number of put and call options	_	_	_
787	incentive option	an option granted to corporate executives if the company achieves certain financial goals	00079	04	act
788	buying	the act of buying; "buying equipment for the trip took several hours"	_	_	_
789	shopping	searching for or buying goods or services: "went shopping for a reliable plumber"; "does her shopping at the mall rather than down town"	_	_	_
790	marketing	shopping at a market: "does the weekly marketing at the supermarket"	_	_	_
791	mail-order buying	buying goods to be shipped through the mail	00080	04	act
792	viatication	purchasing insurance policies for cash from terminally ill policy holders	00080	04	act
793	acceptance	the act of taking something that is offered; "her acceptance of the gift encouraged him"; "he anticipated their acceptance of his offer"	00080	04	act
794	succession	acquisition of property by descent or by will	00080	04	act
795	assumption	the act of taking possession of or power over something; "the Nazi assumption of power in 1934"	_	_	_
796	inheritance	any acquisition from past generations	_	_	_
797	procurement	the act of getting possession of something; "he was responsible for the procurement of materials and supplies"	00081	04	act
798	appropriation	a deliberate act of acquisition	00081	04	act
799	borrowing	the appropriation (of ideas or words etc) from another source; "the borrowing of ancient motifs was very apparent"	00082	04	act
800	misappropriation	wrongful borrowing; "his explanation was a misappropriation of sociological theory"	00082	04	act
801	seizure	the taking possession of something by legal process	00082	04	act
802	usurpation	seizing and holding (an office or powers) by force	_	_	_
803	confiscation	seizure by the government	00083	04	act
804	distress	the seizure and holding of property as security for payment of a debt or satisfaction of a claim	_	_	_
805	expropriation	depriving an owner of property by taking it for public use	_	_	_
806	impoundment	placing private property in the custody of an officer of the law	00083	04	act
807	impress	the act of coercing someone into government service	00084	04	act
808	occupation	the act of occupying or taking possession of a building; "occupation of a building without a certificate of occupancy is illegal"	00084	04	act
809	preoccupancy	the act of taking occupancy before someone else does	00084	04	act
810	sequestration	seizing property that belongs to someone else and holding it until profits pay the demand for which it was seized	00084	04	act
811	grant	the act of providing a subsidy	00085	04	act
812	award	a grant made by a law court; "he criticized the awarding of compensation by the court"	00085	04	act
813	block grant	a grant of federal money to state and local governments to support social welfare programs; "block grants reduce federal responsibility for social welfare"	00085	04	act
814	grant-in-aid	a grant from a central government to a local government	00086	04	act
815	capture	the act of forcibly dispossessing an owner of property	00086	04	act
816	apprehension	the act of apprehending (especially apprehending a criminal); "the policeman on the beat got credit for the collar"	00086	04	act
817	conquest	the act of conquering	00086	04	act
818	enslavement	the act of making slaves of your captives	00086	04	act
819	restitution	getting something back again; "upon the restitution of the book to its rightful owner the child was given a tongue lashing"	00087	04	act
820	clawback	(British) finding a way to take money back from people that they were given in another way; "the Treasury will find some clawback for the extra benefits members received"	_	_	_
821	repossession	seizure of the collateral securing a loan that is in default	_	_	_
822	foreclosure	the legal proceedings initiated by a creditor to repossess the collateral for loan that is in default	00087	04	act
823	reception	the act of receiving	00087	04	act
824	disposal	the act or means of getting rid of something	00041	04	act
825	appointment	(law) the act of disposing of property by virtue of the power of appointment; "she allocated part of the trust to her church by appointment"	00088	04	act
826	comb-out	the act of carefully weeding out unwanted things or people; "the department got a good comb-out"	00088	04	act
827	giving	disposing of property by voluntary transfer without receiving value in return	_	_	_
828	abandonment	the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away	00088	04	act
829	discard	getting rid something that is regarded as useless or undesirable	00088	04	act
830	discard	to throw out a useless card or to fail to follow suit	_	_	_
831	jettison	throwing cargo overboard to lighten the load when in distress	_	_	_
832	mine disposal	the disposal of explosive mines	00089	04	act
833	minesweeping	the activity of detecting and disposing of marine mines	00089	04	act
834	sewage disposal	the disposal of sewage	00089	04	act
835	private treaty	a sale of property at a price agreed on by the seller and buyer without an intervening agency	00089	04	act
836	auction	the public sale of something to the highest bidder	00090	04	act
837	bootlegging	the act of making of transporting alcoholic liquor for sale illegally; "the Prohibition amendment made bootlegging profitable"	00090	04	act
838	bootlegging	the act of selling illegally or without permission; "the bootlegging of video tapes is common in the Orient"	00090	04	act
839	capitalization	the sale of capital stock	00090	04	act
840	overcapitalization	too much capitalization (more than the business warrants)	_	_	_
841	rally	the feat of mustering strength for a renewed effort; "he singled to start a rally in the 9th inning"; "he feared the rallying of their troops for a counterattack"	00043	04	act
842	recovery	the act of regaining or saving something lost (or in danger of becoming lost)	00044	04	act
843	rescue	recovery or preservation from loss or danger; "work is the deliverance of mankind" or "a surgeon's job is the saving of lives"	_	_	_
844	lifesaving	saving the lives of drowning persons; "he took a course in lifesaving"	00091	04	act
845	redemption	(Christianity) the act of delivering from sin or saving from evil	00091	04	act
846	absolution	formal redemption as pronounced by a priest in the sacrament of penance	_	_	_
847	conversion	a spiritual enlightenment causing a person to lead a new life	00092	04	act
848	evangelism	conversion resulting from the zeal of crusading advocacy of the gospel	_	_	_
